sep=;
Instance; First_solved;solved;;1stOPT;1stSOL-COST;1stMakespan;1stTheoricMakespan;1stRunTime;1stGroundTime;1stGroundPerc;1stAtoms;1stBodies;1stRules;1stTotal;;OPT;SOL-COST;Makespan;TheoricMakespan;RunTime;GroundTime;GroundPerc;Atoms;Bodies;Rules;Total
Instance-20-0-20-0;1;1;"	";-227;253;-1;24;1,611469269;0,73975563;45,90566167;77773;204518;319263;601554;"	";-227;253;-1;24;1,611469269;0,73975563;45,90566167;77773;204518;319263;601554
Instance-20-0-20-1;1;1;"	";-267;293;-1;28;2,548161268;1,188608646;46,64573868;101385;298898;483504;883787;"	";-267;293;-1;28;2,548161268;1,188608646;46,64573868;101385;298898;483504;883787
Instance-20-0-20-2;1;1;"	";-363;257;-1;31;3,132730961;1,454278469;46,42206711;128339;409036;680775;1218150;"	";-363;257;-1;31;3,132730961;1,454278469;46,42206711;128339;409036;680775;1218150
Instance-20-0-20-3;1;1;"	";-255;285;-1;27;2,028764248;0,986876726;48,64422898;98725;289296;467623;855644;"	";-255;285;-1;27;2,028764248;0,986876726;48,64422898;98725;289296;467623;855644
Instance-20-0-20-4;1;1;"	";-256;264;-1;26;1,84135437;0,806243181;43,78533509;88284;247224;394687;730195;"	";-256;264;-1;26;1,84135437;0,806243181;43,78533509;88284;247224;394687;730195
Instance-20-0-20-5;1;1;"	";-241;279;-1;26;1,819515467;0,892765522;49,06611339;90823;258539;415196;764558;"	";-241;279;-1;26;1,819515467;0,892765522;49,06611339;90823;258539;415196;764558
Instance-20-0-20-6;1;1;"	";-188;172;-1;18;0,914915085;0,390079498;42,63559589;53122;120777;185370;359269;"	";-188;172;-1;18;0,914915085;0,390079498;42,63559589;53122;120777;185370;359269
Instance-20-0-20-7;1;1;"	";-269;271;-1;27;2,175103664;0,995509624;45,76837604;96637;279591;451147;827375;"	";-269;271;-1;27;2,175103664;0,995509624;45,76837604;96637;279591;451147;827375
Instance-20-0-20-8;1;1;"	";-274;366;-1;32;3,274815559;1,493398428;45,60252023;125821;390987;640538;1157346;"	";-274;366;-1;32;3,274815559;1,493398428;45,60252023;125821;390987;640538;1157346
Instance-20-0-20-9;1;1;"	";-274;306;-1;29;2,583456993;1,198606968;46,39546821;109798;332983;543915;986696;"	";-274;306;-1;29;2,583456993;1,198606968;46,39546821;109798;332983;543915;986696
Instance-20-5-20-0;1;1;"	";-254;226;-1;24;1,479460955;0,705701828;47,69992921;76963;205672;324878;607513;"	";-254;226;-1;24;1,479460955;0,705701828;47,69992921;76963;205672;324878;607513
Instance-20-5-20-1;1;1;"	";-209;291;-1;30;1,760469198;0,632791996;35,94450824;75037;194394;303008;572439;"	";-309;291;-1;35;4,645483017;1,756762743;37,81657874;110880;333612;541322;985814
Instance-20-5-20-2;1;1;"	";-323;297;-1;31;2,714598179;1,369539976;50,45092813;117572;360598;589843;1068013;"	";-323;297;-1;31;2,714598179;1,369539976;50,45092813;117572;360598;589843;1068013
Instance-20-5-20-3;1;1;"	";-176;304;-1;28;1,803411007;0,565814495;31,37468347;69678;174423;269401;513502;"	";-256;304;-1;32;4,196995735;1,482676983;35,32710244;96653;278179;445850;820682
Instance-20-5-20-4;1;1;"	";-206;234;-1;22;1,074397802;0,506335735;47,12739864;65153;157924;241933;465010;"	";-206;234;-1;22;1,074397802;0,506335735;47,12739864;65153;157924;241933;465010
Instance-20-5-20-5;1;1;"	";-242;258;-1;25;1,529793739;0,714151382;46,6828543;80956;218018;343559;642533;"	";-242;258;-1;25;1,529793739;0,714151382;46,6828543;80956;218018;343559;642533
Instance-20-5-20-6;1;1;"	";-177;263;-1;22;1,123859167;0,486928463;43,32646627;61771;145231;221264;428266;"	";-177;263;-1;22;1,123859167;0,486928463;43,32646627;61771;145231;221264;428266
Instance-20-5-20-7;1;1;"	";-195;265;-1;25;1,333816767;0,578006506;43,33477584;67450;170063;265035;502548;"	";-235;265;-1;27;3,345739365;1,329103947;39,72526852;80487;219055;347301;646843
Instance-20-5-20-8;1;1;"	";-208;292;-1;30;1,811227083;0,676335573;37,34129086;78142;203983;317040;599165;"	";-308;292;-1;35;5,366696596;2,178977966;40,60184747;112626;340642;553422;1006690
Instance-20-5-20-9;1;1;"	";-252;248;-1;29;2,058716059;0,827719212;40,2056033;80589;216087;340407;637083;"	";-335;245;-1;30;4,689198494;1,897497892;40,46529263;106743;319995;520563;947301
Instance-20-10-20-0;1;1;"	";-194;266;-1;28;1,420043945;0,487040758;34,29758352;64380;153283;233835;451498;"	";-294;266;-1;33;3,646434307;1,367544174;37,50360103;94921;269359;428930;793210
Instance-20-10-20-1;1;1;"	";-153;247;-1;20;0,732171774;0,291903973;39,86823626;49552;100872;150150;300574;"	";-153;247;-1;20;0,732171774;0,291903973;39,86823626;49552;100872;150150;300574
Instance-20-10-20-2;1;1;"	";-200;260;-1;23;1,440564156;0,516829491;35,8768812;64636;159541;247481;471658;"	";-200;260;-1;23;1,440564156;0,516829491;35,8768812;64636;159541;247481;471658
Instance-20-10-20-3;1;1;"	";-179;281;-1;27;1,650477171;0,497839451;30,16336485;63235;155060;240993;459288;"	";-259;281;-1;31;4,740692377;1,376521826;29,03630348;88957;252391;404796;746144
Instance-20-10-20-4;1;1;"	";-218;282;-1;25;1,649567604;0,602062464;36,49819882;73673;186815;288108;548596;"	";-218;282;-1;25;1,649567604;0,602062464;36,49819882;73673;186815;288108;548596
Instance-20-10-20-5;1;1;"	";-232;248;-1;26;1,695364952;0,620713949;36,61240894;72334;193094;306681;572109;"	";-272;248;-1;28;3,714969158;1,380224705;37,15305958;85091;241834;389116;716041
Instance-20-10-20-6;1;1;"	";-309;291;-1;33;3,00830698;1,100868702;36,59429404;107763;323610;525683;957056;"	";-369;291;-1;36;6,595927238;2,5014081;37,92352477;130402;416158;687420;1233980
Instance-20-10-20-7;1;1;"	";-279;301;-1;29;2,13928628;0,941083908;43,99055503;97754;281856;451169;830779;"	";-279;301;-1;29;2,13928628;0,941083908;43,99055503;97754;281856;451169;830779
Instance-20-10-20-8;1;1;"	";-171;269;-1;22;0,978924036;0,386954784;39,5285814;57655;129799;196966;384420;"	";-171;269;-1;22;0,978924036;0,386954784;39,5285814;57655;129799;196966;384420
Instance-20-10-20-9;1;1;"	";-194;266;-1;24;1,251931906;0,484058857;38,66495092;63620;155854;241593;461067;"	";-214;266;-1;25;2,6709795;1,024177074;38,34462505;69165;176233;275372;520770
Instance-20-15-20-0;1;1;"	";-203;297;-1;27;1,59038949;0,535737991;33,6859615;66627;162646;249811;479084;"	";-243;297;-1;29;3,628918886;1,208524227;33,30259686;78623;206538;321272;606433
