sep=;
instance;solved;makespan;cost;wall_time;cpu_time
Instance-35-4.mpf; 0; 0; 0; 0; 0
Instance-35-4.mpf; 0; 0; 0; 0; 0
Instance-35-4.mpf; 0; 0; 0; 0; 0
Instance-35-4.mpf; 0; 0; 0; 0; 0
Instance-35-4.mpf; 0; 0; 0; 0; 0
Instance-35-4.mpf; 0; 0; 0; 0; 0
Instance-35-4.mpf; 0; 0; 0; 0; 0
Instance-35-4.mpf; 0; 0; 0; 0; 0
Instance-35-4.mpf; 0; 0; 0; 0; 0
Instance-35-4.mpf; 0; 0; 0; 0; 0
Instance-35-4.mpf; 0; 0; 0; 0; 0
Instance-35-4.mpf; 0; 0; 0; 0; 0
Instance-35-4.mpf; 0; 0; 0; 0; 0
