Instance; First_solved;Models; Optimum; Calls;Threads;MIN-Timestep;Min-SUMTIME; ;1stTime(Total); 1stTime(Solving);1stTime(Unsat); 1stCPU Time;1stOptimization;1stSOL-COST; 1st Makespan; ;OPT - Optimization; OPT- Time(Total); OPT-Time(Solving); OPT-Time(Unsat); OPT-CPU Time; OPT-SOL-COST; Last-Makespan ;OPT-Makespan; OPT-Solved;Moved On Goal; Theoric Makespan; 1stRunTime ;Total RunTime; Called Extra
Instance-8-0-10-0;1;1;1;0;4;8;51;"	";0,173944473;0,009998322;0,000999451;0,203125;0;51;8;"	";0;0,173944473;0,009998322;0,000999451;0,203125;51;8;8;TRUE;FALSE;8;0,160947561;0,185940027;FALSE
Instance-8-0-10-1;1;1;1;0;4;11;70;"	";0,291906357;0,014997482;0,000999451;0,3125;0;70;11;"	";0;0,291906357;0,014997482;0,000999451;0,3125;70;11;11;TRUE;FALSE;11;0,279907942;0,308898449;FALSE
Instance-8-0-10-2;1;3;1;0;4;10;53;"	";0,250917435;0,017993927;0,000999451;0,265625;1;54;10;"	";1;0,250917435;0,017993927;0,000999451;0,265625;54;10;-1;FALSE;FALSE;11;0,238922119;0,266912937;FALSE
Instance-8-0-10-3;1;1;1;0;4;10;60;"	";0,27091217;0,013996124;0,000997543;0,3125;0;60;10;"	";0;0,27091217;0,013996124;0,000997543;0,3125;60;10;10;TRUE;FALSE;10;0,257915497;0,286905766;FALSE
Instance-8-0-10-4;1;2;1;0;4;6;37;"	";0,083974838;0,006999969;0;0,078125;2;39;6;"	";2;0,083974838;0,006999969;0;0,078125;39;6;-1;FALSE;FALSE;8;0,069978714;0,089970589;FALSE
Instance-8-0-10-5;1;1;1;0;4;9;62;"	";0,203935623;0,01099968;0,001001358;0,203125;0;62;9;"	";0;0,203935623;0,01099968;0,001001358;0,203125;62;9;9;TRUE;FALSE;9;0,191937208;0,216929436;FALSE
Instance-8-0-10-6;1;2;1;0;4;7;40;"	";0,127960205;0,009998322;0,002998352;0,125;3;43;7;"	";3;0,127960205;0,009998322;0,002998352;0,125;43;7;-1;FALSE;FALSE;10;0,114962816;0,136955023;FALSE
Instance-8-0-10-7;1;1;1;0;4;9;60;"	";0,19893837;0,008998871;0;0,1875;0;60;9;"	";0;0,19893837;0,008998871;0;0,1875;60;9;9;TRUE;FALSE;9;0,18693924;0,210930586;FALSE
Instance-8-0-10-8;1;1;1;0;4;8;47;"	";0,166946411;0,008998871;0,000997543;0,203125;0;47;8;"	";0;0,166946411;0,008998871;0,000997543;0,203125;47;8;8;TRUE;FALSE;8;0,154949665;0,178940773;FALSE
Instance-8-0-10-9;1;1;1;0;4;11;49;"	";0,276908875;0,013994217;0,000997543;0,265625;0;49;11;"	";0;0,276908875;0,013994217;0,000997543;0,265625;49;11;11;TRUE;FALSE;11;0,264914036;0,295902491;FALSE
Instance-8-5-10-0;1;3;1;0;4;10;56;"	";0,225925446;0,014995575;0,001998901;0,265625;1;57;10;"	";1;0,225925446;0,014995575;0,001998901;0,265625;57;10;-1;FALSE;FALSE;11;0,214930058;0,240920782;FALSE
Instance-8-5-10-1;1;2;1;0;4;8;51;"	";0,158948898;0,010997772;0,000999451;0,171875;1;52;8;"	";1;0,158948898;0,010997772;0,000999451;0,171875;52;8;-1;FALSE;FALSE;9;0,147951603;0,169944048;FALSE
Instance-8-5-10-2;1;1;1;0;4;9;57;"	";0,214931488;0,011997223;0,000999451;0,203125;1;58;9;"	";1;0,214931488;0,011997223;0,000999451;0,203125;58;9;-1;FALSE;FALSE;10;0,203933239;0,228924751;FALSE
Instance-8-5-10-3;1;2;1;0;4;10;56;"	";0,252918243;0,015996933;0;0,265625;1;57;10;"	";1;0,252918243;0,015996933;0;0,265625;57;10;-1;FALSE;FALSE;11;0,240921259;0,268911362;FALSE
