Grid Name;Grid Rows;Grid Columns;Num Of Agents;Num Of Obstacles;Instance Id;HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Success;HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Runtime;HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Solution Cost;HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Expanded (HL);HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Generated (HL);HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart MDDs Built (HL);HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Solution Depth;Makespan
;8;8;50;0;2;0;5002,0971;-2;1081;1817;1499;9;-1
;8;8;50;0;3;0;5001,2195;-2;1095;1794;1485;7;-1
;8;8;50;0;4;0;5000,1461;-2;1867;3013;2601;6;-1
;8;8;52;0;0;0;5000,3087;-2;794;1448;1333;12;-1
;8;8;52;0;1;0;5000,138;-1;1159;2029;1870;-1;-1
;8;8;52;0;2;0;5001,4436;-2;740;1316;944;7;-1
;8;8;52;0;3;0;5001,6336;-2;830;1472;1269;11;-1
;8;8;52;0;4;0;5002,3025;-2;1486;2690;2115;5;-1
;8;8;54;0;0;0;5001,4541;-2;1102;1772;1484;10;-1
;8;8;54;0;1;0;5002,1465;-2;1048;1772;1767;13;-1
;8;8;54;0;2;0;5002,6789;-2;1567;2794;2322;7;-1
;8;8;54;0;3;0;5001,6757;-2;1587;3017;2532;13;-1
;8;8;54;0;4;0;5001,8326;-2;640;1128;1137;10;-1
;8;8;56;0;0;0;5001,4171;-2;2283;3675;3155;12;-1
;8;8;56;0;1;0;5006,568;-1;1849;3304;2866;-1;-1
;8;8;56;0;2;0;5001,4906;-2;913;1639;1417;14;-1
;8;8;56;0;3;0;5001,5405;-2;1494;2740;2246;13;-1
;8;8;56;0;4;0;5001,6847;-2;1417;2468;1962;10;-1
;8;8;58;0;0;0;5002,2254;-2;1843;3399;2532;11;-1
;8;8;58;0;1;0;5001,6818;-2;1264;2296;1957;8;-1
;8;8;58;0;2;0;5001,3718;-2;1317;2124;1750;5;-1
;8;8;58;0;3;0;5003,4807;-2;732;1236;1120;12;-1
;8;8;58;0;4;0;5001,5616;-2;1627;2709;2585;13;-1
;8;8;60;0;0;0;5002,7494;-2;1059;1948;1689;11;-1
;8;8;60;0;1;0;5001,6935;-2;2034;3562;3047;11;-1
;8;8;60;0;2;0;5001,5227;-2;662;1167;1235;13;-1
;8;8;60;0;3;0;5001,4821;-2;1633;3118;2461;11;-1
;8;8;60;0;4;0;5001,8218;-2;1474;2479;2235;12;-1
