Grid Name;Grid Rows;Grid Columns;Num Of Agents;Num Of Obstacles;Instance Id;EPEA*/SIC Success;EPEA*/SIC Runtime;EPEA*/SIC Solution Cost;EPEA*/SIC Expanded;EPEA*/SIC Generated;EPEA*/SIC Reopened;EPEA*/SIC BPMX boosts;EPEA*/SIC Closed List Hits;EPEA*/SIC Reopened With Old H;EPEA*/SIC H Updated From Other Area;EPEA*/SIC Max expansion delay;EPEA*/SIC Quick Insertions;EPEA*/SIC Quick Insertions Cancelled;EPEA*/SIC Expanded Full States;EPEA*/SIC Solution Depth;Makespan;HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Success;HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Runtime;HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Solution Cost;HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Expanded (HL);HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Generated (HL);HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart MDDs Built (HL);HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Solution Depth;Makespan;
;16;16;8;0;5;1;4.98070000000007;84;16;360;0;0;0;0;0;0;15;216;16;0;17;1;0.246399999999994;84;0;1;0;0;17;
;16;16;8;0;6;1;17.0111999999999;99;37;651;0;0;22;0;0;17;32;362;37;0;21;1;0.453600000000279;99;0;1;0;0;21;
;16;16;8;0;7;1;15.1315;116;24;915;0;0;0;0;0;0;23;699;24;0;25;1;0.350699999999961;116;0;1;0;0;25;
;16;16;8;0;8;1;6.70350000000008;89;19;421;0;0;0;0;0;0;18;306;19;0;20;1;3.70260000000007;89;2;2;7;0;20;
;16;16;8;0;9;1;50.2264;97;192;503;0;0;574;0;0;156;128;246;192;0;20;1;2.14920000000029;97;1;1;4;0;20;
;16;16;10;0;0;1;205.3493;114;556;823;0;0;3715;0;0;526;290;436;556;0;23;1;3.4085;114;1;1;7;0;23;
;16;16;10;0;1;1;4613.7945;87;5225;5226;0;0;122824;0;0;5213;2843;2126;5224;1;19;1;86.4987999999994;87;53;107;74;1;19;
;16;16;10;0;2;1;14.4719999999998;82;15;474;0;0;0;0;0;0;14;171;15;0;16;1;1.32200000000012;82;1;1;4;0;16;
;16;16;10;0;3;1;8.57419999999911;99;30;284;0;0;0;0;0;2;29;126;30;0;28;1;3.22979999999916;99;1;1;4;0;28;
;16;16;10;0;4;1;65.9683999999997;102;128;871;0;0;199;0;0;72;88;398;128;0;19;1;1.84490000000005;102;1;1;4;0;19;
;16;16;10;0;5;1;31.7853000000014;77;14;1186;0;0;0;0;0;0;13;148;14;0;15;1;0.392900000000736;77;0;1;0;0;15;
;16;16;10;0;6;0;300001.5338;-2;66290;67434;0;0;4694586;0;0;62400;43468;23389;66290;0;-1;1;121.453500000003;101;73;140;86;1;18;
;16;16;10;0;7;1;6352.13650000002;109;5044;6276;0;0;105206;0;0;5027;3600;1651;5044;0;16;1;1.32240000000456;109;1;1;3;0;16;
;16;16;10;0;8;1;15.624300000025;85;23;397;0;0;4;0;0;6;20;120;23;0;16;1;2.27689999999711;85;1;1;4;0;16;
;16;16;10;0;9;0;300028.0101;-2;125865;111927;0;0;3780322;0;0;125565;101322;10220;111916;1;-1;1;2.34320000000298;99;2;3;4;2;21;
;16;16;12;0;0;1;48.4089999999851;89;17;1083;0;0;1;0;0;2;15;299;17;0;15;1;1.74210000003222;89;1;1;5;0;15;
;16;16;12;0;1;1;89.0383000000147;127;19;2189;0;0;0;0;0;0;18;634;19;0;20;1;3.68460000003688;127;1;1;7;0;20;
;16;16;12;0;2;1;197393.3987;115;47779;52460;0;0;1727610;0;0;47405;32684;15679;47779;0;22;1;2.23290000006091;115;1;1;5;0;22;
;16;16;12;0;3;1;49.0823000000091;125;26;1411;0;0;5;0;0;5;22;876;26;0;20;1;2.72259999997914;125;1;1;4;0;20;
;16;16;12;0;4;1;34278.6984999999;109;24187;24190;0;0;768066;0;0;24174;17417;6388;24186;1;21;1;154.803100000019;109;66;129;74;1;21;
;16;16;12;0;5;1;335.906600000104;111;202;7184;0;0;921;0;0;188;139;2948;202;0;15;1;1.85230000002775;111;1;1;4;0;15;
;16;16;12;0;6;1;43864.3355;127;33478;36440;0;0;764271;0;0;17137;22599;11792;33478;0;22;1;2.16019999992568;127;1;1;3;0;22;
;16;16;12;0;7;1;51.5496999999741;111;67;683;0;0;114;0;0;37;47;347;67;0;23;1;1.81720000004862;111;1;1;3;0;23;
;16;16;12;0;8;1;361.653099999996;140;363;5836;0;0;1608;0;0;314;250;2513;363;0;22;1;4.37219999998342;140;1;1;7;0;22;
;16;16;12;0;9;1;89.3286999999546;129;52;1152;0;0;0;0;0;32;51;332;52;0;21;1;3.62849999999162;129;1;1;7;0;21;
;16;16;14;0;0;1;80.9425000000047;160;23;852;0;0;0;0;0;0;22;509;23;0;24;1;6.1315000000177;160;1;1;10;0;24;
;16;16;14;0;1;1;187.485300000058;131;27;4796;0;0;3;0;0;4;25;2722;27;0;22;1;2.31240000005346;131;1;1;6;0;22;
;16;16;14;0;2;0;300005.4146;-2;56130;64619;0;0;1704102;0;0;31277;50102;8372;56130;0;-1;1;28.3055999998469;162;14;27;35;1;21;
;16;16;14;0;3;1;1658.77049999987;150;1292;6018;0;0;11152;0;0;1273;772;1149;1292;0;20;1;4.01980000012554;150;1;1;7;0;20;
;16;16;14;0;4;0;300000.8108;-2;75006;80115;0;0;3663651;0;0;72252;48488;29322;75006;0;-1;1;3.39360000006855;141;1;1;6;0;18;
;16;16;14;0;5;1;1183.69939999981;188;200;19912;0;0;246;0;0;164;179;7444;200;0;25;1;8.5250000001397;188;2;2;9;0;25;
;16;16;14;0;6;1;476.832900000038;188;37;7948;0;0;3;0;0;8;35;3816;37;0;25;1;6.54669999983162;188;1;1;10;0;25;
;16;16;14;0;7;0;300001.0648;-2;105541;115912;0;0;3071921;0;0;66189;77444;34371;105541;0;-1;1;3.6636999999173;170;1;1;6;0;24;
;16;16;14;0;8;0;300001.5523;-2;34053;40529;0;0;2796352;0;0;26132;25291;9093;34053;0;-1;1;4.49310000007972;133;3;3;9;2;18;
;16;16;14;0;9;1;12815.2771999999;173;9883;22379;0;0;134905;0;0;9445;6699;7487;9883;0;25;1;4.43629999971017;173;1;1;8;0;25;
;16;16;16;0;0;0;300007.4495;-2;41500;63555;0;0;2026554;0;0;32608;30158;17012;41500;0;-1;1;0.679299999959767;162;0;1;0;0;23;
;16;16;16;0;1;1;16524.4021000001;145;11258;15445;0;0;175314;0;0;8027;5457;6915;11257;1;21;1;9.99850000021979;145;4;6;15;1;21;
;16;16;16;0;2;1;7750.8021999998;197;4949;36389;0;0;38850;0;0;4056;4067;7745;4949;0;24;1;5.27330000000075;197;1;1;10;0;24;
;16;16;16;0;3;0;300001.3797;-2;50481;82128;0;0;2838043;0;0;31338;38544;19007;50481;0;-1;1;206.760699999984;186;69;134;87;1;21;
;16;16;16;0;4;1;4318.23680000007;145;1559;40725;0;0;10075;0;0;1529;1179;6777;1559;0;15;1;2.37999999988824;145;1;1;4;0;15;
;16;16;16;0;5;1;7409.98380000005;201;4193;44988;0;0;53359;0;0;3821;2539;17872;4193;0;28;1;8.06499999994412;201;1;1;13;0;28;
;16;16;16;0;6;1;113458.1706;187;26424;51342;0;0;354482;0;0;26171;25515;7394;26424;0;26;1;6.23019999964163;187;1;1;10;0;26;
;16;16;16;0;7;0;300005.5412;-2;87823;93338;0;0;1505639;0;0;80269;86427;2814;87823;0;-1;1;7.43469999963418;177;2;3;12;1;24;
;16;16;16;0;8;0;300008.0319;-2;30695;51554;0;0;1673663;0;0;30649;25159;14106;30695;0;-1;1;23.1082000001334;172;16;27;25;1;20;
;16;16;16;0;9;1;1300.81590000028;180;70;22819;0;0;53;0;0;42;62;8932;70;0;24;1;2.54160000011325;180;1;1;4;0;24;
;16;16;18;0;0;0;300000.8862;-2;34426;48627;0;0;1566464;0;0;31263;25454;18564;34426;0;-1;1;16.4455999997444;190;7;12;22;1;22;
;16;16;18;0;1;0;300000.9334;-2;40527;50719;0;0;1152298;0;0;16640;32538;9988;40527;0;-1;1;6.20899999979883;157;4;5;10;2;16;
;16;16;18;0;2;0;300002.3618;-2;37547;262996;0;0;797917;0;0;34209;30080;101843;37547;0;-1;1;1638.92030000035;215;88;93;105;10;22;
;16;16;18;0;3;0;300007.7944;-2;29781;103215;0;0;2110298;0;0;15847;19856;34206;29781;0;-1;1;145.189899999648;156;80;158;137;1;18;
;16;16;18;0;4;0;300002.265500001;-2;29736;133044;0;0;749735;0;0;16763;21043;46464;29736;0;-1;1;6.51200000010431;200;1;1;9;0;23;
;16;16;18;0;5;0;300003.1311;-2;30245;181973;0;0;1345136;0;0;29993;21112;62556;30245;0;-1;1;269.878200000152;220;67;132;94;1;24;
