Instance; First_solved;solved;;1stOPT;1stSOL-COST;1stMakespan;1stTheoricMakespan;1stRunTime;1stGroundTime;1stGroundPerc;1stAtoms;1stBodies;1stRules;1stTotal;;OPT;SOL-COST;Makespan;TheoricMakespan;RunTime;GroundTime;GroundPerc;Atoms;Bodies;Rules;Total
Release\Instances\Instance-8-0-2-0;1;1;"	";15;15;-1;9;0,131378174;0,036123276;27,4956446;2690;5184;7652;15526;"	";15;15;-1;9;0,131378174;0,036123276;27,4956446;2690;5184;7652;15526
Release\Instances\Instance-8-0-2-1;1;1;"	";13;13;-1;9;0,054498434;0,029690504;54,47955447;3228;6736;9730;19694;"	";13;13;-1;9;0,054498434;0,029690504;54,47955447;3228;6736;9730;19694
Release\Instances\Instance-8-0-2-2;1;1;"	";8;8;-1;7;0,032767534;0,017246246;52,63211508;1852;3142;4995;9989;"	";8;8;-1;7;0,032767534;0,017246246;52,63211508;1852;3142;4995;9989
Release\Instances\Instance-8-0-2-3;1;1;"	";9;9;-1;8;0,042060137;0,023130894;54,99481331;2594;4849;7098;14541;"	";9;9;-1;8;0,042060137;0,023130894;54,99481331;2594;4849;7098;14541
Release\Instances\Instance-8-0-2-4;1;1;"	";9;9;-1;7;0,040317535;0,021412849;53,11051187;2262;4392;6744;13398;"	";9;9;-1;7;0,040317535;0,021412849;53,11051187;2262;4392;6744;13398
Release\Instances\Instance-8-0-2-5;1;1;"	";7;7;-1;6;0,02434659;0,01346612;55,31008549;1577;2036;3240;6853;"	";7;7;-1;6;0,02434659;0,01346612;55,31008549;1577;2036;3240;6853
Release\Instances\Instance-8-0-2-6;1;1;"	";6;6;-1;3;0,014280558;0,00723958;50,69536037;812;423;1107;2342;"	";6;6;-1;3;0,014280558;0,00723958;50,69536037;812;423;1107;2342
Release\Instances\Instance-8-0-2-7;1;1;"	";4;4;-1;4;0,017640829;0,009314299;52,79966482;1061;921;1783;3765;"	";4;4;-1;4;0,017640829;0,009314299;52,79966482;1061;921;1783;3765
Release\Instances\Instance-8-0-2-8;1;1;"	";8;8;-1;7;0,035690069;0,019199848;53,79605197;2167;3701;5506;11374;"	";8;8;-1;7;0,035690069;0,019199848;53,79605197;2167;3701;5506;11374
Release\Instances\Instance-8-0-2-9;1;1;"	";16;16;-1;9;0,046532393;0,024527073;52,70967511;2591;5225;7909;15725;"	";16;16;-1;9;0,046532393;0,024527073;52,70967511;2591;5225;7909;15725
Release\Instances\Instance-8-0-4-0;1;1;"	";16;16;-1;7;0,061196566;0,03121829;51,01314103;3290;6730;10382;20402;"	";16;16;-1;7;0,061196566;0,03121829;51,01314103;3290;6730;10382;20402
Release\Instances\Instance-8-0-4-1;1;1;"	";22;22;-1;8;0,074082136;0,03707099;50,04038967;3786;8299;12781;24866;"	";22;22;-1;8;0,074082136;0,03707099;50,04038967;3786;8299;12781;24866
Release\Instances\Instance-8-0-4-2;1;1;"	";27;27;-1;10;0,090155363;0,043190002;47,90619323;4271;10012;15394;29677;"	";27;27;-1;11;0,195920467;0,091760159;46,83541223;4886;12091;18577;35554
Release\Instances\Instance-8-0-4-3;1;1;"	";18;18;-1;8;0,076095104;0,037909269;49,81827638;3931;8578;13041;25550;"	";18;18;-1;8;0,076095104;0,037909269;49,81827638;3931;8578;13041;25550
Release\Instances\Instance-8-0-4-4;1;1;"	";15;15;-1;6;0,044954538;0,023256302;51,73293451;2603;4503;7062;14168;"	";15;15;-1;6;0,044954538;0,023256302;51,73293451;2603;4503;7062;14168
Release\Instances\Instance-8-0-4-5;1;1;"	";22;22;-1;9;0,089265823;0,044469595;49,81704451;4422;10393;15907;30722;"	";22;22;-1;9;0,089265823;0,044469595;49,81704451;4422;10393;15907;30722
Release\Instances\Instance-8-0-4-6;1;1;"	";18;18;-1;7;0,059998989;0,031255722;52,09374776;3305;6728;10397;20430;"	";18;18;-1;7;0,059998989;0,031255722;52,09374776;3305;6728;10397;20430
Release\Instances\Instance-8-0-4-7;1;1;"	";27;27;-1;9;0,081071615;0,040129423;49,49873397;3942;9041;14096;27079;"	";27;27;-1;9;0,081071615;0,040129423;49,49873397;3942;9041;14096;27079
Release\Instances\Instance-8-0-4-8;1;1;"	";18;18;-1;7;0,057652712;0,027106047;47,01608268;3030;5607;8643;17280;"	";18;18;-1;7;0,057652712;0,027106047;47,01608268;3030;5607;8643;17280
Release\Instances\Instance-8-0-4-9;1;1;"	";15;15;-1;5;0,038028717;0,018179178;47,80381683;2134;3176;5066;10376;"	";15;15;-1;5;0,038028717;0,018179178;47,80381683;2134;3176;5066;10376
Release\Instances\Instance-8-0-6-0;1;1;"	";30;30;-1;8;0,101751804;0,049569607;48,71619437;4849;11315;17842;34006;"	";30;30;-1;8;0,101751804;0,049569607;48,71619437;4849;11315;17842;34006
Release\Instances\Instance-8-0-6-1;1;1;"	";23;23;-1;7;0,077528238;0,036248922;46,75576686;3802;7627;12082;23511;"	";23;23;-1;7;0,077528238;0,036248922;46,75576686;3802;7627;12082;23511
Release\Instances\Instance-8-0-6-2;1;1;"	";21;21;-1;7;0,080501556;0,038698435;48,07166043;3946;8308;13212;25466;"	";21;21;-1;7;0,080501556;0,038698435;48,07166043;3946;8308;13212;25466
Release\Instances\Instance-8-0-6-3;1;1;"	";36;36;-1;9;0,107322693;0,050208569;46,78280728;4857;11472;18138;34467;"	";36;36;-1;10;0,243340731;0,108922958;44,76149886;5619;14249;22554;42422
Release\Instances\Instance-8-0-6-4;1;1;"	";37;37;-1;10;0,160241842;0,071982861;44,92138854;6475;17367;27453;51295;"	";37;37;-1;10;0,160241842;0,071982861;44,92138854;6475;17367;27453;51295
Release\Instances\Instance-8-0-6-5;1;1;"	";32;32;-1;11;0,184646845;0,084456921;45,73970418;7258;20563;32660;60481;"	";32;32;-1;11;0,184646845;0,084456921;45,73970418;7258;20563;32660;60481
Release\Instances\Instance-8-0-6-6;1;1;"	";21;21;-1;6;0,062851429;0,031822681;50,63159572;3471;6554;10350;20375;"	";21;21;-1;6;0,062851429;0,031822681;50,63159572;3471;6554;10350;20375
Release\Instances\Instance-8-0-6-7;1;1;"	";31;31;-1;10;0,145138979;0,069036484;47,56577748;6261;16317;25726;48304;"	";31;31;-1;10;0,145138979;0,069036484;47,56577748;6261;16317;25726;48304
Release\Instances\Instance-8-0-6-8;1;1;"	";38;38;-1;12;0,206967115;0,092892408;44,88268979;7905;22621;35774;66300;"	";38;38;-1;12;0,206967115;0,092892408;44,88268979;7905;22621;35774;66300
Release\Instances\Instance-8-0-6-9;1;1;"	";30;30;-1;9;0,129493713;0,061998367;47,87751134;5706;14608;23117;43431;"	";30;30;-1;9;0,129493713;0,061998367;47,87751134;5706;14608;23117;43431
Release\Instances\Instance-8-0-8-0;1;1;"	";37;37;-1;8;0,127708197;0,058843851;46,07680058;5546;13322;21518;40386;"	";37;37;-1;8;0,127708197;0,058843851;46,07680058;5546;13322;21518;40386
Release\Instances\Instance-8-0-8-1;1;1;"	";50;50;-1;11;0,247240543;0,105548143;42,69046733;8543;25147;40757;74447;"	";50;50;-1;11;0,247240543;0,105548143;42,69046733;8543;25147;40757;74447
Release\Instances\Instance-8-0-8-2;1;1;"	";36;36;-1;8;0,138683319;0,063383341;45,70365149;5903;14564;23445;43912;"	";36;36;-1;8;0,138683319;0,063383341;45,70365149;5903;14564;23445;43912
Release\Instances\Instance-8-0-8-3;1;1;"	";50;50;-1;15;0,188526869;0,072727442;38,57669851;6474;16889;27305;50668;"	";50;50;-1;21;0,961355686;0,235416889;24,48801131;12004;38855;63091;113950
Release\Instances\Instance-8-0-8-4;1;1;"	";42;42;-1;11;0,222878933;0,095285654;42,75220309;8120;22708;36504;67332;"	";42;42;-1;11;0,222878933;0,095285654;42,75220309;8120;22708;36504;67332
Release\Instances\Instance-8-0-8-5;1;1;"	";45;45;-1;9;0,145884752;0,063861847;43,77554606;5787;14599;23748;44134;"	";45;45;-1;10;0,319982767;0,139403105;43,56581639;6695;18118;29466;54279
