Grid Name;Grid Rows;Grid Columns;Num Of Agents;Num Of Obstacles;Instance Id;HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Success;HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Runtime;HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Solution Cost;HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Expanded (HL);HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Generated (HL);HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart MDDs Built (HL);HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Solution Depth;Makespan;
;16;16;2;0;0;1;49,219;23;0;1;0;0;22;
;16;16;2;0;1;1;0,0913000000000181;18;0;1;0;0;11;
;16;16;2;0;2;1;0,0476000000000454;13;0;1;0;0;9;
;16;16;2;0;3;1;0,0532999999999788;18;0;1;0;0;13;
;16;16;2;0;4;1;0,0590000000000259;16;0;1;0;0;15;
;16;16;4;0;0;1;0,0632999999999129;35;0;1;0;0;13;
;16;16;4;0;1;1;84,3973999999999;42;1;1;2;0;17;
;16;16;4;0;2;1;0,071999999999889;48;0;1;0;0;25;
;16;16;4;0;3;1;2,22389999999996;45;1;1;2;0;17;
;16;16;4;0;4;1;0,0848999999998341;52;0;1;0;0;23;
;16;16;6;0;0;1;0,393000000000029;52;1;1;2;0;18;
;16;16;6;0;1;1;0,121000000000095;40;0;1;0;0;10;
;16;16;6;0;2;1;0,158099999999649;55;0;1;0;0;20;
;16;16;6;0;3;1;0,744499999999789;74;1;1;2;0;23;
;16;16;6;0;4;1;2,75689999999986;60;1;1;4;0;25;
;16;16;8;0;0;1;0,375800000000254;79;1;1;2;0;19;
;16;16;8;0;1;1;0,107899999999972;81;0;1;0;0;18;
;16;16;8;0;2;1;0,728799999999865;71;1;1;2;0;23;
;16;16;8;0;3;1;1,00810000000001;90;1;1;4;0;24;
;16;16;8;0;4;1;0,362300000000232;91;1;1;2;0;21;
;16;16;10;0;0;1;13,3706000000002;118;15;25;20;2;22;
;16;16;10;0;1;1;0,151800000000094;104;0;1;0;0;16;
;16;16;10;0;2;1;0,620100000000093;95;1;1;5;0;18;
;16;16;10;0;3;1;0,936400000000049;121;1;1;5;0;27;
;16;16;10;0;4;1;0,378799999999956;100;1;1;2;0;17;
;16;16;12;0;0;1;0,985400000000027;132;1;1;4;0;19;
;16;16;12;0;1;1;106,0635;180;71;139;112;1;23;
;16;16;12;0;2;1;0,950200000000223;124;1;1;6;0;18;
;16;16;12;0;3;1;0,272200000000339;118;0;1;0;0;24;
;16;16;12;0;4;1;0,756899999999405;128;1;1;5;0;18;
;16;16;14;0;0;1;0,994499999999789;167;1;1;4;0;21;
;16;16;14;0;1;1;11,8040000000001;155;16;32;31;1;22;
;16;16;14;0;2;1;0,780700000000252;119;1;1;5;0;21;
;16;16;14;0;3;1;1,10559999999987;131;1;1;9;0;15;
;16;16;14;0;4;1;3,66290000000026;159;8;17;13;1;29;
;16;16;16;0;0;1;2,21600000000035;200;1;1;9;0;24;
;16;16;16;0;1;1;2,19949999999972;162;1;1;9;0;20;
;16;16;16;0;2;1;1,44270000000051;169;1;1;10;0;17;
;16;16;16;0;3;1;0,854400000000169;129;1;1;7;0;14;
;16;16;16;0;4;1;1,8094000000001;151;1;1;11;0;17;
;16;16;18;0;0;1;1,74510000000009;194;3;5;8;2;24;
;16;16;18;0;1;1;1,97869999999966;182;2;2;12;0;20;
;16;16;18;0;2;1;4,28929999999946;217;3;5;15;0;25;
