sep=;
Instance; Models; Optimum; 1stOptimization; Calls; 1stTime(Total); 1stTime(Solving);1stTime(Unsat); 1stCPU Time; Threads; MIN-Timestep;Min-SUMTIME; 1stSOL-COST;Optimization;Time(Total); Time(Solving);Time(Unsat); CPU Time; SOL-COST
Instance-10-20-6-33;1,0;1,0;2,0;1,0;0,2779083251953125;0,014993667602539062;0,0019989013671875;0,28125;4,0;13;49;51,0;2,0;0,13995742797851562;0,02099609375;0,00099945068359375;0,1875;51,0
Instance-10-20-6-34;1,0;1,0;0,0;1,0;0,1469593048095703;0,005001068115234375;0,0010013580322265625;0,171875;4,0;11;32;32,0;0,0;0,032989501953125;0,00499725341796875;0,0009975433349609375;0,03125;32,0
Instance-10-20-6-35;1,0;1,0;0,0;1,0;0,07797622680664062;0,003002166748046875;0,0010013580322265625;0,0625;4,0;8;36;36,0;0,0;0,02399444580078125;0,003002166748046875;0,0010013580322265625;0,078125;36,0
Instance-10-20-6-36;1,0;1,0;0,0;1,0;0,10996437072753906;0,0030002593994140625;0,0;0,109375;4,0;9;28;28,0;0,0;0,0269927978515625;0,00299835205078125;0,00099945068359375;0,015625;28,0
Instance-10-20-6-37;1,0;1,0;0,0;1,0;0,07697677612304688;0,0020008087158203125;0,0;0,078125;4,0;7;32;32,0;0,0;0,027990341186523438;0,003997802734375;0,000995635986328125;0,03125;32,0
Instance-10-20-6-38;1,0;1,0;3,0;1,0;0,21093368530273438;0,012998580932617188;0,0020008087158203125;0,171875;4,0;12;43;46,0;2,0;0,1689472198486328;0,024991989135742188;0,00099945068359375;0,171875;45,0
Instance-10-20-6-39;1,0;1,0;1,0;1,0;0,2559165954589844;0,010997772216796875;0,00099945068359375;0,25;4,0;13;37;38,0;1,0;0,08397293090820312;0,008998870849609375;0,00099945068359375;0,140625;38,0
Instance-10-20-6-4;1,0;1,0;1,0;1,0;0,20200538635253906;0,008998870849609375;0,0009975433349609375;0,1875;4,0;12;49;50,0;1,0;0,07997703552246094;0,010999679565429688;0,0019989013671875;0,109375;50,0
Instance-10-20-6-40;1,0;1,0;3,0;1,0;0,2139301300048828;0,010995864868164062;0,0009975433349609375;0,234375;4,0;12;48;51,0;3,0;0,1720714569091797;0,022996902465820312;0,0010013580322265625;0,1875;51,0
Instance-10-20-6-41;1,0;1,0;2,0;1,0;0,19493484497070312;0,00899505615234375;0,0;0,171875;4,0;12;44;46,0;2,0;0,12196159362792969;0,014995574951171875;0,0009975433349609375;0,15625;46,0
Instance-10-20-6-42;1,0;1,0;1,0;1,0;0,2070941925048828;0,008998870849609375;0,00099945068359375;0,1875;4,0;12;53;54,0;1,0;0,07897567749023438;0,007999420166015625;0,00099945068359375;0,109375;54,0
Instance-10-20-6-43;1,0;1,0;2,0;1,0;0,13805198669433594;0,005001068115234375;0,0;0,15625;4,0;10;26;28,0;2,0;0,10102653503417969;0,015054702758789062;0,0019989013671875;0,109375;28,0
Instance-10-20-6-44;1,0;1,0;2,0;1,0;0,23699569702148438;0,012994766235351562;0,00099945068359375;0,25;4,0;13;42;44,0;2,0;0,13695144653320312;0,022993087768554688;0,0019989013671875;0,15625;44,0
Instance-10-20-6-45;1,0;1,0;2,0;1,0;0,26832008361816406;0,012998580932617188;0,00099945068359375;0,296875;4,0;15;48;50,0;2,0;0,12695884704589844;0,016996383666992188;0,00099945068359375;0,15625;50,0
Instance-10-20-6-46;1,0;1,0;0,0;1,0;0,19379806518554688;0,0069980621337890625;0,00099945068359375;0,15625;4,0;12;39;39,0;0,0;0,038990020751953125;0,005001068115234375;0,0;0,0625;39,0
Instance-10-20-6-47;1,0;1,0;0,0;1,0;0,11101531982421875;0,004001617431640625;0,0;0,109375;4,0;9;39;39,0;0,0;0,02899169921875;0,0039997100830078125;0,00099945068359375;0,03125;39,0
Instance-10-20-6-48;1,0;1,0;0,0;1,0;0,08597564697265625;0,0020008087158203125;0,0;0,078125;4,0;9;28;28,0;0,0;0,024993896484375;0,0030002593994140625;0,0010013580322265625;0,03125;28,0
Instance-10-20-6-49;1,0;1,0;6,0;1,0;0,3518848419189453;0,06597900390625;0,0019989013671875;0,40625;4,0;15;37;43,0;6,0;1,2258110046386719;0,9306964874267578;0,008996963500976562;3,453125;43,0
Instance-10-20-6-5;1,0;1,0;0,0;1,0;0,26474571228027344;0,009998321533203125;0,0019969940185546875;0,296875;4,0;14;49;49,0;0,0;0,04198646545410156;0,0059986114501953125;0,000995635986328125;0,078125;49,0
Instance-10-20-6-50;1,0;1,0;0,0;1,0;0,10396766662597656;0,0039997100830078125;0,0020008087158203125;0,140625;4,0;9;33;33,0;0,0;0,024995803833007812;0,003002166748046875;0,0010013580322265625;0,015625;33,0
Instance-10-20-6-51;1,0;1,0;0,0;1,0;0,1339569091796875;0,005001068115234375;0,0;0,140625;4,0;10;30;30,0;0,0;0,03299140930175781;0,003997802734375;0,0009975433349609375;0,03125;30,0
