sep=;
instance;solved;makespan;cost;wall_time;cpu_time
Instance-8-10-14-5.cpf;1;13;95;1,678;1,640
Instance-8-10-14-6.cpf;1;10;92;5,040;5,040
Instance-8-10-14-7.cpf;1;11;92;1,738;1,720
Instance-8-10-14-8.cpf;1;14;110;6,983;6,850
Instance-8-10-14-9.cpf;1;11;83;1,028;1,000
Instance-8-10-15-0.cpf;1;13;100;30,608;30,100
Instance-8-10-15-1.cpf;1;10;99;28,695;28,190
Instance-8-10-15-2.cpf;1;11;97;36,749;36,200
Instance-8-10-15-3.cpf;1;11;102;18,921;18,760
Instance-8-10-15-4.cpf;0;0;0;308,205;305,360
Instance-8-10-15-5.cpf;1;12;98;26,764;26,550
Instance-8-10-15-6.cpf;1;9;86;1,999;1,990
Instance-8-10-15-7.cpf;1;13;107;44,585;44,020
Instance-8-10-15-8.cpf;1;11;93;0,291;0,280
Instance-8-10-15-9.cpf;1;13;106;12,206;12,160
Instance-8-10-16-0.cpf;1;11;91;11,765;11,630
Instance-8-10-16-1.cpf;1;12;98;9,158;9,100
Instance-8-10-16-2.cpf;1;12;97;13,993;13,750
Instance-8-10-16-3.cpf;1;13;106;49,948;49,590
Instance-8-10-16-4.cpf;1;13;99;3,820;3,770
Instance-8-10-16-5.cpf;1;10;85;0,226;0,210
Instance-8-10-16-6.cpf;1;13;115;58,480;58,000
Instance-8-10-16-7.cpf;1;15;103;21,641;21,510
Instance-8-10-16-8.cpf;1;11;90;3,194;3,180
Instance-8-10-16-9.cpf;1;12;97;0,185;0,180
Instance-8-10-17-0.cpf;1;12;130;108,505;107,420
Instance-8-10-17-1.cpf;0;0;0;344,130;340,630
Instance-8-10-17-2.cpf;1;12;103;25,648;25,390
Instance-8-10-17-3.cpf;0;0;0;310,918;308,370
Instance-8-10-17-4.cpf;1;12;100;33,234;33,010
Instance-8-10-17-5.cpf;1;9;92;0,934;0,910
Instance-8-10-17-6.cpf;1;11;103;65,555;65,020
Instance-8-10-17-7.cpf;0;0;0;339,144;336,190
Instance-8-10-17-8.cpf;1;13;139;66,246;65,570
Instance-8-10-17-9.cpf;1;17;119;75,867;75,280
Instance-8-10-18-0.cpf;1;16;135;115,778;114,770
Instance-8-10-18-1.cpf;0;0;0;306,146;303,370
Instance-8-10-18-2.cpf;1;12;114;214,215;212,240
Instance-8-10-18-3.cpf;1;15;105;85,275;84,570
Instance-8-10-18-4.cpf;0;14;131;330,178;327,440
Instance-8-10-18-5.cpf;1;11;132;154,446;152,530
Instance-8-10-18-6.cpf;0;0;0;367,204;363,620
Instance-8-10-18-7.cpf;1;14;128;300,386;298,260
Instance-8-10-18-8.cpf;1;14;121;196,075;194,410
Instance-8-10-18-9.cpf;1;10;119;203,970;202,420
