Instance; First_solved;Models; Optimum; Calls;Threads;MIN-Timestep;Min-SUMTIME; ;1stTime(Total); 1stTime(Solving);1stTime(Unsat); 1stCPU Time;1stOptimization;1stSOL-COST; 1st Makespan; ;OPT - Optimization; OPT- Time(Total); OPT-Time(Solving); OPT-Time(Unsat); OPT-CPU Time; OPT-SOL-COST; Last-Makespan ;OPT-Makespan; OPT-Solved;Moved On Goal; Theoric Makespan; 1stRunTime ;Total RunTime; Ground Time; Percent Grounding; Called Extra; Atoms; Bodies; Rules; Total
Instance-8-0-10-0;1;11;1;0;0;8;51;"	";0,145952225;0,009998322;0;0,140625;-29;22;-1;"	";-29;0,145952225;0,009998322;0;0,140625;22;-1;-1;FALSE;FALSE;8;0;0,151950121;0,08997035;59,21044993;FALSE;5931;44169;57482;107582
Instance-8-0-10-1;1;7;1;0;0;11;70;"	";0,230922699;0,012994766;0;0,234375;-40;30;-1;"	";-40;0,230922699;0,012994766;0;0,234375;30;-1;-1;FALSE;FALSE;11;0;0,238920689;0,147951126;61,9247864;FALSE;8688;77253;99340;185281
Instance-8-0-10-2;1;15;1;0;0;10;53;"	";0,242919922;0,02599144;0,000999451;0,234375;-56;-3;-1;"	";-56;0,242919922;0,02599144;0,000999451;0,234375;-3;-1;-1;FALSE;FALSE;11;0;0,466846466;0,270911217;58,03004551;FALSE;8805;83400;106851;199056
Instance-8-0-10-3;1;5;1;0;0;10;60;"	";0,210931778;0,009998322;0;0,203125;-40;20;-1;"	";-40;0,210931778;0,009998322;0;0,203125;20;-1;-1;FALSE;FALSE;10;0;0,218927622;0,135955334;62,10058492;FALSE;8075;76089;97582;181746
Instance-8-0-10-4;1;16;1;0;0;6;37;"	";0,122961044;0,012994766;0,001001358;0,125;-41;-4;-1;"	";-41;0,122961044;0,012994766;0,001001358;0,125;-4;-1;-1;FALSE;FALSE;8;0;0,19293642;0,106965303;55,44070071;FALSE;5702;36777;48319;90798
Instance-8-0-10-5;1;5;1;0;0;9;62;"	";0,156949997;0,005998611;0;0,15625;-28;34;-1;"	";-28;0,156949997;0,005998611;0;0,15625;34;-1;-1;FALSE;FALSE;9;0;0,163946152;0,100966692;61,58527718;FALSE;6848;54145;69848;130841
Instance-8-0-10-6;1;13;1;0;0;7;40;"	";0,227924347;0,02299118;0,003997803;0,234375;-57;-17;-1;"	";-57;0,227924347;0,02299118;0,003997803;0,234375;-17;-1;-1;FALSE;FALSE;10;0;0,345886469;0,200933218;58,09224589;FALSE;8046;75481;96551;180078
Instance-8-0-10-7;1;10;1;0;0;9;60;"	";0,143951416;0,011995316;0;0,125;-30;30;-1;"	";-30;0,143951416;0,011995316;0;0,125;30;-1;-1;FALSE;FALSE;9;0;0,149950027;0,087970972;58,66685959;FALSE;6560;46393;60256;113209
Instance-8-0-10-8;1;8;1;0;0;8;47;"	";0,122959137;0,007997513;0,000999451;0,125;-33;14;-1;"	";-33;0,122959137;0,007997513;0,000999451;0,125;14;-1;-1;FALSE;FALSE;8;0;0,127957582;0,076974154;60,15599235;FALSE;5858;40274;52423;98555
Instance-8-0-10-9;1;8;1;0;0;11;49;"	";0,219926834;0,011995316;0;0,21875;-61;-12;-1;"	";-61;0,219926834;0,011995316;0;0,21875;-12;-1;-1;FALSE;FALSE;11;0;0,227924824;0,141953468;62,28082838;FALSE;8620;76721;98446;183787
Instance-8-5-10-0;1;4;1;0;0;10;56;"	";0,209997177;0,010995865;0,000999451;0,1875;-53;3;-1;"	";-53;0,209997177;0,010995865;0,000999451;0,1875;3;-1;-1;FALSE;FALSE;11;0;0,391313553;0,237363815;60,65821477;FALSE;8438;70949;91875;171262
Instance-8-5-10-1;1;3;1;0;0;8;51;"	";0,156042099;0,004999161;0,000997543;0,15625;-38;13;-1;"	";-38;0,156042099;0,004999161;0,000997543;0,15625;13;-1;-1;FALSE;FALSE;9;0;0,281035423;0,173033953;61,57015749;FALSE;6793;53000;68731;128524
Instance-8-5-10-2;1;7;1;0;0;9;57;"	";0,211111069;0,013025284;0,001001358;0,203125;-42;15;-1;"	";-42;0,211111069;0,013025284;0,001001358;0,203125;15;-1;-1;FALSE;FALSE;10;0;0,397989035;0,239012241;60,05498156;FALSE;7992;72373;93387;173752
Instance-8-5-10-3;1;8;1;0;0;10;56;"	";0,237987518;0,015995026;0,001998901;0,21875;-53;3;-1;"	";-53;0,237987518;0,015995026;0,001998901;0,21875;3;-1;-1;FALSE;FALSE;11;0;0,450984955;0,267976999;59,42038563;FALSE;8825;81987;105297;196109
Instance-8-5-10-4;1;8;1;0;0;6;31;"	";0,077999115;0,003997803;0,000999451;0,078125;-38;-7;-1;"	";-38;0,077999115;0,003997803;0,000999451;0,078125;-7;-1;-1;FALSE;FALSE;7;0;0,140014172;0,076000452;54,28054259;FALSE;4747;22318;29925;56990
Instance-8-5-10-5;1;2;1;0;0;8;46;"	";0,111963272;0,002998352;0,000999451;0,109375;-34;12;-1;"	";-34;0,111963272;0,002998352;0,000999451;0,109375;12;-1;-1;FALSE;FALSE;8;0;0,115961313;0,068977833;59,48348709;FALSE;5696;36461;47841;89998
Instance-8-5-10-6;1;5;1;0;0;11;68;"	";0,221021652;0,010995865;0;0,21875;-42;26;-1;"	";-42;0,221021652;0,010995865;0;0,21875;26;-1;-1;FALSE;FALSE;11;0;0,229019403;0,137049198;59,84174095;FALSE;8511;72237;93742;174490
Instance-8-5-10-7;1;8;1;0;0;8;42;"	";0,44701004;0,032014847;0,006023407;0,4375;-103;-61;-1;"	";-103;0,44701004;0,032014847;0,006023407;0,4375;-61;-1;-1;FALSE;FALSE;13;0;0,592025518;0,355041742;59,97068222;FALSE;13272;152921;195223;361416
