sep=;
Instance; First_solved;solved;;1stOPT;1stSOL-COST;1stMakespan;1stTheoricMakespan;1stRunTime;1stGroundTime;1stGroundPerc;1stAtoms;1stBodies;1stRules;1stTotal;;OPT;SOL-COST;Makespan;TheoricMakespan;RunTime;GroundTime;GroundPerc;Atoms;Bodies;Rules;Total
Instance-20-10-20-0;1;1;"	";268;268;-1;31;12,18800902;6,521864176;53,51049678;169080;3451729;3492097;7112906;"	";268;268;-1;31;26,40135407;13,98042154;52,95342619;188602;3944632;3989989;8123223
Instance-20-10-20-1;1;1;"	";289;289;-1;31;12,32396436;6,733794212;54,63983842;175755;3470445;3513546;7159746;"	";289;289;-1;31;12,32396436;6,733794212;54,63983842;175755;3470445;3513546;7159746
Instance-20-10-20-2;1;1;"	";246;246;-1;24;4,539512873;2,501180649;55,09799661;82099;1304527;1323807;2710433;"	";246;246;-1;24;12,19700551;6,687809467;54,83156879;117493;2142002;2169762;4429257
Instance-20-10-20-3;1;1;"	";242;242;-1;33;13,13669801;7,078681469;53,88478494;181842;3702010;3746089;7629941;"	";242;242;-1;33;28,44068599;15,43194556;54,26010318;201425;4199678;4248768;8649871
Instance-20-10-20-4;1;1;"	";262;262;-1;23;6,034024;3,375894547;55,94764864;105658;1830598;1855959;3792215;"	";262;262;-1;23;6,034024;3,375894547;55,94764864;105658;1830598;1855959;3792215
Instance-20-10-20-5;1;1;"	";275;275;-1;24;6,695806742;3,680794239;54,97163196;112873;1972472;1999513;4084858;"	";275;275;-1;24;6,695806742;3,680794239;54,97163196;112873;1972472;1999513;4084858
Instance-20-10-20-6;1;1;"	";249;249;-1;22;5,485203505;3,073993683;56,04156127;97387;1653484;1676300;3427171;"	";249;249;-1;22;5,485203505;3,073993683;56,04156127;97387;1653484;1676300;3427171
Instance-20-10-20-7;1;1;"	";324;324;-1;31;12,12502956;6,468881845;53,35147276;170110;3417742;3458732;7046584;"	";324;324;-1;31;24,99981332;13,38861561;53,55486234;179829;3662919;3706379;7549127
Instance-20-10-20-8;1;1;"	";269;269;-1;27;8,784123421;4,855409861;55,27483652;134182;2559803;2591628;5285613;"	";269;269;-1;27;18,5879128;10,11268735;54,40464166;143661;2795240;2829430;5768331
Instance-20-10-20-9;1;1;"	";295;295;-1;30;12,16901517;6,632827997;54,50587336;171910;3482072;3523278;7177260;"	";295;295;-1;30;12,16901517;6,632827997;54,50587336;171910;3482072;3523278;7177260
Instance-20-10-22-0;1;1;"	";330;330;-1;32;17,2753427;9,308951139;53,88576829;211124;4742585;4793467;9747176;"	";330;330;-1;32;17,2753427;9,308951139;53,88576829;211124;4742585;4793467;9747176
Instance-20-10-22-1;1;1;"	";317;317;-1;33;11,53322315;5,944053173;51,53852565;155193;3135720;3173155;6464068;"	";317;317;-1;33;30,54699588;15,82781625;51,81464099;219088;4874315;4927977;10021380
Instance-20-10-22-2;1;1;"	";307;307;-1;25;8,757130861;4,692462921;53,5844787;127057;2480047;2509814;5116918;"	";307;307;-1;25;18,38797712;9,881762981;53,74034846;137263;2751008;2783272;5671543
Instance-20-10-22-3;1;1;"	";284;284;-1;42;9,888760567;4,777435064;48,31176801;128054;2503748;2533974;5165776;"	";270;270;-1;28;40,95558739;19,90847921;48,60992232;320718;7788302;7867779;15976799
Instance-20-10-22-4;1;1;"	";338;338;-1;32;12,43892574;6,453886986;51,88460096;164619;3389735;3429357;6983711;"	";338;338;-1;32;29,98018169;15,52191734;51,77392686;207118;4546767;4597139;9351024
