sep=;
instance;solved;makespan;cost;wall_time;cpu_time
Instance-40-2.mpf; 1; 0; 534; 193,228; 190,960
Instance-40-3.mpf; 0; 0; 0; 394,274; 392,150
Instance-40-4.mpf; 1; 0; 528; 55,440; 54,920
Instance-40-5.mpf; 1; 0; 556; 122,987; 122,220
Instance-40-6.mpf; 1; 0; 482; 8,590; 8,550
Instance-40-7.mpf; 1; 0; 571; 117,688; 116,950
Instance-40-8.mpf; 1; 0; 551; 17,873; 17,720
Instance-40-9.mpf; 1; 0; 489; 92,588; 91,960
Instance-42-0.mpf; 0; 0; 0; 366,695; 363,930
Instance-42-1.mpf; 0; 0; 583; 508,381; 505,160
Instance-42-2.mpf; 0; 0; 0; 472,336; 468,820
Instance-42-3.mpf; 1; 0; 506; 74,599; 74,060
Instance-42-4.mpf; 1; 0; 552; 104,126; 103,540
Instance-42-5.mpf; 1; 0; 534; 101,493; 100,880
Instance-42-6.mpf; 0; 0; 635; 535,272; 531,960
Instance-42-7.mpf; 0; 0; 0; 400,950; 397,950
Instance-42-8.mpf; 0; 0; 0; 574,591; 570,150
Instance-42-9.mpf; 0; 0; 0; 336,042; 333,560
Instance-44-0.mpf; 0; 0; 0; 310,485; 308,180
Instance-44-1.mpf; 0; 0; 0; 474,051; 471,010
Instance-44-2.mpf; 0; 0; 0; 357,020; 321,320
Instance-44-3.mpf; 0; 0; 615; 651,566; 499,460
Instance-44-0.mpf; 0; 0; 0; 310,485; 308,180
Instance-44-1.mpf; 0; 0; 0; 474,051; 471,010
Instance-44-2.mpf; 0; 0; 0; 357,020; 321,320
Instance-44-3.mpf; 0; 0; 615; 651,566; 499,460
Instance-44-0.mpf; 0; 0; 0; 310,485; 308,180
Instance-44-1.mpf; 0; 0; 0; 474,051; 471,010
Instance-44-2.mpf; 0; 0; 0; 357,020; 321,320
Instance-44-3.mpf; 0; 0; 615; 651,566; 499,460
Instance-44-0.mpf; 0; 0; 0; 310,485; 308,180
Instance-44-1.mpf; 0; 0; 0; 474,051; 471,010
Instance-44-2.mpf; 0; 0; 0; 357,020; 321,320
Instance-44-3.mpf; 0; 0; 615; 651,566; 499,460
Instance-44-0.mpf; 0; 0; 0; 310,485; 308,180
Instance-44-1.mpf; 0; 0; 0; 474,051; 471,010
Instance-44-2.mpf; 0; 0; 0; 357,020; 321,320
Instance-44-3.mpf; 0; 0; 615; 651,566; 499,460
Instance-44-0.mpf; 0; 0; 0; 310,485; 308,180
Instance-44-1.mpf; 0; 0; 0; 474,051; 471,010
Instance-44-2.mpf; 0; 0; 0; 357,020; 321,320
Instance-44-3.mpf; 0; 0; 615; 651,566; 499,460
Instance-44-0.mpf; 0; 0; 0; 310,485; 308,180
Instance-44-1.mpf; 0; 0; 0; 474,051; 471,010
Instance-44-2.mpf; 0; 0; 0; 357,020; 321,320
Instance-44-3.mpf; 0; 0; 615; 651,566; 499,460
Instance-44-0.mpf; 0; 0; 0; 310,485; 308,180
Instance-44-1.mpf; 0; 0; 0; 474,051; 471,010
Instance-44-2.mpf; 0; 0; 0; 357,020; 321,320
Instance-44-3.mpf; 0; 0; 615; 651,566; 499,460
Instance-44-0.mpf; 0; 0; 0; 310,485; 308,180
Instance-44-1.mpf; 0; 0; 0; 474,051; 471,010
Instance-44-2.mpf; 0; 0; 0; 357,020; 321,320
Instance-44-3.mpf; 0; 0; 615; 651,566; 499,460
Instance-44-0.mpf; 0; 0; 0; 310,485; 308,180
Instance-44-1.mpf; 0; 0; 0; 474,051; 471,010
Instance-44-2.mpf; 0; 0; 0; 357,020; 321,320
Instance-44-3.mpf; 0; 0; 615; 651,566; 499,460
