Instance; First_solved;solved;;1stOPT;1stSOL-COST;1stMakespan;1stTheoricMakespan;1stRunTime;1stGroundTime;1stGroundPerc;1stAtoms;1stBodies;1stRules;1stTotal;;OPT;SOL-COST;Makespan;TheoricMakespan;RunTime;GroundTime;GroundPerc;Atoms;Bodies;Rules;Total
Instance-20-10-40-0;1;1;"	";-383;457;-1;46;2,546900511;1,188586473;46,6679585;58954;538851;670191;1267996;"	";-1397;443;-1;32;118,7954421;38,24244285;32,19184353;337154;18279821;22256717;40873692
Instance-20-10-40-1;1;1;"	";-519;561;-1;35;7,753543377;3,876820803;50,00063344;93758;1648895;2029501;3772154;"	";-839;561;-1;35;34,39865446;17,12599373;49,78681288;179846;6161016;7532621;13873483
Instance-20-10-40-2;1;1;"	";-592;528;-1;38;8,063520193;3,948144197;48,96303479;103021;1996806;2454525;4554352;"	";-992;528;-1;38;47,66727185;23,19566178;48,6616097;217883;8661366;10579310;19458559
Instance-20-10-40-3;1;1;"	";-668;572;-1;40;12,83034778;6,305350065;49,14403082;127634;3121981;3819424;7069039;"	";-1028;572;-1;40;57,82941484;28,02688599;48,46475805;238564;10153714;12366999;22759277
Instance-20-10-40-4;1;1;"	";-556;524;-1;37;6,433143854;3,183875322;49,49174765;94344;1637365;2012827;3744536;"	";-956;524;-1;37;37,86854434;18,26659679;48,2368602;203626;7723208;9426019;17352853
Instance-20-10-40-5;1;1;"	";-526;554;-1;35;6,613853693;3,166403055;47,87531146;94520;1607135;1975665;3677320;"	";-846;554;-1;35;31,00010061;15,14711833;48,86151345;178746;5985280;7316127;13480153
Instance-20-10-40-6;1;1;"	";-479;481;-1;31;4,560160637;2,217430353;48,62614565;76193;1088880;1344774;2509847;"	";-759;481;-1;31;19,99381709;9,995909452;49,99500299;140828;4083074;4999567;9223469
Instance-20-10-40-7;1;1;"	";-551;569;-1;34;8,775873899;3,881751537;44,2320797;103561;2039907;2509990;4653458;"	";-791;569;-1;34;31,32707429;14,6334455;46,71181664;169296;5486672;6718187;12374155
Instance-20-10-40-8;1;1;"	";-609;551;-1;39;8,03007412;3,9112041;48,70694892;106640;2025807;2488130;4620577;"	";-1012;548;-1;36;45,05747318;21,73601222;48,24063731;219662;8451651;10325134;18996447
Instance-20-10-40-9;1;1;"	";-599;481;-1;33;7,024194002;3,571251154;50,84214862;98196;1854102;2275661;4227959;"	";-839;481;-1;33;25,87485075;13,35001087;51,59454252;158993;4983371;6089241;11231605
Instance-20-10-50-0;1;0;"	";-763;687;-1;47;15,2843976;6,717686653;43,95126866;137554;3460308;4271132;7868994;"	";;;;;;;;;;;
Instance-20-10-50-1;1;1;"	";-649;651;-1;37;33,02229095;11,85113811;35,8882978;111948;2503942;3084163;5700053;"	";-1199;651;-1;37;110,1530509;52,39494395;47,56558581;264611;13439724;16419805;30124140
Instance-20-10-50-2;1;0;"	";-1032;768;-1;48;59,36094975;23,82514954;40,13606527;239991;11006568;13473012;24719571;"	";;;;;;;;;;;
Instance-20-10-50-3;1;1;"	";-818;682;-1;44;54,15124154;22,43054318;41,42202939;151043;4302669;5295187;9748899;"	";-1518;682;-1;44;357,5798573;96,2645762;26,92114061;373528;22705264;27757899;50836691
