sep=;
instance;solved;makespan;cost;wall_time;cpu_time
Instance-20-10-40-5.cpf;1;27;565;133,31;131,91
Instance-20-10-40-6.cpf;1;24;486;14,621;14,32
Instance-20-10-40-7.cpf;1;28;582;194,08;191,96
Instance-20-10-40-8.cpf;1;30;555;41,944;41,18
Instance-20-10-40-9.cpf;1;27;494;180,776;178,13
Instance-20-10-42-0.cpf;0;0;0;334,455;330,72
Instance-20-10-42-1.cpf;0;0;0;315,583;312,41
Instance-20-10-42-2.cpf;0;0;0;337,577;332,59
Instance-20-10-42-3.cpf;1;30;512;91,02;89,88
Instance-20-10-42-4.cpf;1;34;557;227,206;224,45
Instance-20-10-42-5.cpf;1;26;542;199,687;197,53
Instance-20-10-42-6.cpf;0;0;0;337,593;334,32
Instance-20-10-42-7.cpf;0;0;0;407,659;403,19
Instance-20-10-42-8.cpf;0;0;0;346,03;342,39
Instance-20-10-42-9.cpf;0;0;0;319,22;315,29
Instance-20-10-44-0.cpf;0;0;0;325,766;321,49
Instance-20-10-44-1.cpf;0;0;0;310,088;306,67
Instance-20-10-44-2.cpf;0;0;0;375,655;371,33
Instance-20-10-44-3.cpf;0;0;0;393,906;389,47
Instance-20-10-44-4.cpf;0;28;648;383,844;378,68
Instance-20-10-44-5.cpf;0;0;0;566,766;558,73
Instance-20-10-44-6.cpf;0;0;0;357,689;352,54
Instance-20-10-44-7.cpf;0;0;0;357,124;354,96
Instance-20-10-44-8.cpf;0;0;0;358,971;357,62
Instance-20-10-44-9.cpf;0;0;0;361,714;359,86
Instance-20-10-46-0.cpf;0;0;0;409,657;407,55
Instance-20-10-46-1.cpf;0;0;0;392,791;390,59
Instance-20-10-46-2.cpf;0;0;0;462,615;459,87
Instance-20-10-46-3.cpf;0;0;0;628,414;625,66
Instance-20-10-46-4.cpf;0;0;0;319,108;317,1
Instance-20-10-46-5.cpf;0;0;0;318,253;316,85
Instance-20-10-46-6.cpf;0;0;0;343,612;342,03
Instance-20-10-46-7.cpf;0;0;0;357,898;355,96
Instance-20-10-46-8.cpf;0;0;0;414,226;412,63
Instance-20-10-46-9.cpf;0;0;0;456,275;453,88
Instance-20-10-48-0.cpf;0;0;0;328,027;326,24
Instance-20-10-48-1.cpf;0;0;0;366,329;364,35
Instance-20-10-48-2.cpf;0;0;0;346,054;344,15
Instance-20-10-48-3.cpf;0;0;0;333,882;332,46
Instance-20-10-48-4.cpf;0;0;0;305,817;304,35
Instance-20-10-48-5.cpf;0;0;0;386,595;384,52
Instance-20-10-48-6.cpf;0;0;0;367,325;365,81
Instance-20-10-48-7.cpf;0;0;0;420,145;418,03
Instance-20-10-48-8.cpf;0;0;0;413,608;411,35
Instance-20-10-48-9.cpf;0;0;0;372,274;369,25
Instance-20-10-50-0.cpf;0;0;0;338,074;336,56
Instance-20-10-50-1.cpf;0;0;0;319,946;318,42
Instance-20-10-50-2.cpf;0;0;0;325,01;323,7
Instance-20-10-50-3.cpf;0;0;0;392,599;391
Instance-20-10-50-4.cpf;0;0;0;330,097;328,47
Instance-20-10-50-5.cpf;0;0;0;311,176;309,98
Instance-20-10-50-6.cpf;0;0;0;335,874;334,3
Instance-20-10-50-7.cpf;0;0;0;304,149;302,94
Instance-20-10-50-8.cpf;0;0;0;343,099;341,96
Instance-20-10-50-9.cpf;0;0;0;355,291;353,59
