sep=;
Instance;solved;groundtime;runtime;solcost;numexecs;windowsize
den520d-10-0;1;27.757907152175903;58.87672400474548;1956;86;4
den520d-10-1;1;27.51299023628235;58.76176118850708;1617;85;4
den520d-10-2;1;23.821192502975464;50.27154016494751;1613;74;4
den520d-10-3;1;23.26837944984436;49.251941204071045;1418;73;4
den520d-10-4;1;18.4199640750885;39.02122378349304;1233;57;4
den520d-10-5;1;19.784518003463745;42.00824689865112;1066;61;4
den520d-10-6;1;16.14071750640869;34.54668951034546;1148;50;4
den520d-10-7;1;25.02679991722107;53.29854941368103;1100;77;4
den520d-10-8;1;20.104414463043213;42.59305429458618;1351;63;4
den520d-10-9;1;27.731916666030884;59.076658725738525;1316;87;4
den520d-20-0;1;29.372378826141357;58.182950258255005;2857;76;4
den520d-20-1;1;28.910531520843506;58.66979146003723;2845;77;4
den520d-20-2;1;25.06178903579712;48.91998362541199;2744;64;4
den520d-20-3;1;26.897193670272827;52.80471134185791;2886;69;4
den520d-20-4;1;20.36732840538025;40.20183730125427;2128;53;4
den520d-20-5;1;27.408024549484253;54.003318548202515;2664;71;4
den520d-20-6;1;32.984188079833984;65.04070591926575;3117;85;4
den520d-20-7;1;21.42498016357422;41.71834111213684;2405;54;4
den520d-20-8;1;32.207443714141846;63.72013783454895;2876;83;4
den520d-20-9;1;30.960859298706055;61.25294542312622;2192;81;4
den520d-30-0;1;31.799579620361328;61.193965435028076;4330;72;4
den520d-30-1;1;30.04515814781189;56.446518659591675;3514;67;4
den520d-30-2;1;39.03121733665466;73.3939700126648;4705;87;4
den520d-30-3;1;37.986554861068726;71.91245579719543;4447;86;4
den520d-30-4;1;40.486732006073;75.66922569274902;3823;90;4
den520d-30-5;1;33.46703767776489;62.56951451301575;4466;74;4
den520d-30-6;1;29.63829278945923;55.610793352127075;3268;66;4
den520d-30-7;1;40.03088188171387;75.08241772651672;4855;89;4
den520d-30-8;1;38.460400342941284;71.960440158844;4315;86;4
den520d-30-9;1;32.93821096420288;62.22362804412842;4224;74;4
den520d-40-0;1;36.75495386123657;75.42630577087402;5701;94;4
den520d-40-1;1;34.11082124710083;70.16102910041809;5446;87;4
den520d-40-2;1;29.373377084732056;60.28226327896118;5069;75;4
den520d-40-3;1;32.877224922180176;67.99373865127563;6446;84;4
den520d-40-4;1;30.55699324607849;62.421563148498535;5161;78;4
den520d-40-5;1;32.39938449859619;66.33928036689758;6064;83;4
den520d-40-6;1;26.987154006958008;55.41885542869568;4636;69;4
den520d-40-7;1;29.34038782119751;60.22328305244446;4930;75;4
den520d-40-8;1;35.91223502159119;73.65089130401611;5541;92;4
den520d-40-9;1;37.40474772453308;77.5766007900238;5871;96;4
den520d-50-0;1;32.923216104507446;67.07503914833069;6282;80;4
den520d-50-1;1;34.694632053375244;70.78382539749146;6957;84;4
den520d-50-2;1;40.806633949279785;83.60762667655945;7542;100;4
den520d-50-3;1;32.44236922264099;66.27630138397217;7010;79;4
