sep=;
Instance;solved;groundtime;runtime;solcost;numexecs;windowsize
ost003d-10-0;1;7.967389822006226;17.163381814956665;1184;29;8
ost003d-10-1;1;8.219305992126465;17.778178215026855;1301;31;8
ost003d-10-2;1;8.88008999824524;19.310678243637085;973;34;8
ost003d-10-3;1;7.036694288253784;15.190026044845581;1114;26;8
ost003d-10-4;1;5.9390528202056885;12.848793029785156;854;22;8
ost003d-10-5;1;7.00470232963562;15.057070255279541;1204;26;8
ost003d-10-6;1;6.700804948806763;14.491255283355713;794;25;8
ost003d-10-7;1;4.27959680557251;9.321947574615479;651;16;8
ost003d-10-8;1;10.355604887008667;22.552616357803345;1085;40;8
ost003d-10-9;1;9.427910089492798;20.25436806678772;942;35;8
ost003d-20-0;1;10.336612701416016;21.04011106491089;1975;26;8
ost003d-20-1;1;13.214669942855835;26.687262296676636;2222;33;8
ost003d-20-2;1;14.593216180801392;29.415368795394897;2080;37;8
ost003d-20-3;1;12.198004722595215;24.837867975234985;2736;31;8
ost003d-20-4;1;15.317976474761963;31.176792860031128;2473;39;8
ost003d-20-5;1;14.687186241149902;29.928200721740723;1859;38;8
ost003d-20-6;1;10.300623893737793;21.061104774475098;2301;27;8
ost003d-20-7;1;14.095379114151001;28.482674837112427;2825;36;8
ost003d-20-8;1;16.18869423866272;33.005194664001465;2451;41;8
ost003d-20-9;1;10.584531545639038;21.663907051086426;2088;27;8
ost003d-30-0;1;19.65356135368347;38.45540928840637;2979;37;8
ost003d-30-1;1;13.836465120315552;27.3520450592041;2954;26;8
ost003d-30-2;1;23.59627103805542;46.74169611930847;3235;47;8
ost003d-30-3;1;19.57958459854126;38.779303312301636;2737;39;8
ost003d-30-4;1;17.71219778060913;34.74562382698059;3317;34;8
ost003d-30-5;1;21.993796348571777;43.43577837944031;3420;42;8
ost003d-30-6;1;22.449644327163696;44.52442216873169;3835;45;8
ost003d-30-7;1;23.41532874107361;45.70603585243225;2643;44;8
ost003d-30-8;1;23.70923376083374;46.82666850090027;3813;47;8
ost003d-30-9;1;17.417295932769775;34.318763732910156;2855;35;8
ost003d-40-0;1;25.633602142333984;50.22355628013611;4536;39;8
ost003d-40-1;1;24.18907618522644;47.305511713027954;3721;36;8
ost003d-40-2;1;24.48298215866089;47.9363055229187;3874;38;8
ost003d-40-3;1;27.381038665771484;53.56946134567261;4814;42;8
ost003d-40-4;1;22.676575422286987;44.69636654853821;3771;35;8
ost003d-40-5;1;23.539291858673096;46.797677993774414;4541;36;8
ost003d-40-6;1;27.484996795654297;54.07429623603821;5159;43;8
ost003d-40-7;1;25.25472617149353;49.710729360580444;4378;39;8
ost003d-40-8;1;26.643269777297974;52.25589036941528;4228;41;8
ost003d-40-9;1;22.43064832687378;44.39746403694153;4850;35;8
ost003d-50-0;1;31.603647232055664;62.23362398147583;5258;41;8
ost003d-50-1;1;36.06519031524658;70.5359058380127;5512;48;8
