sep=;
Instance;solved;groundtime;runtime;solcost;numexecs;windowsize
ost003d-10-0;1;11.34329104423523;21.747897386550903;1184;20;12
ost003d-10-1;1;10.552544355392456;20.490290641784668;1301;21;12
ost003d-10-2;1;11.563210487365723;22.439653158187866;973;23;12
ost003d-10-3;1;9.090022563934326;17.698205709457397;1114;17;12
ost003d-10-4;1;7.959391832351685;15.336978197097778;854;15;12
ost003d-10-5;1;9.607853651046753;18.37498378753662;1204;18;12
ost003d-10-6;1;9.225976943969727;17.439289808273315;794;17;12
ost003d-10-7;1;5.761112928390503;11.11036205291748;651;11;12
ost003d-10-8;1;13.306639194488525;25.798553228378296;1083;27;12
ost003d-10-9;1;13.013736724853516;24.685916900634766;942;24;12
ost003d-20-0;1;15.974769592285156;29.355388641357422;1977;17;12
ost003d-20-1;1;20.973132848739624;38.635350704193115;2222;22;12
ost003d-20-2;1;22.88750982284546;42.01924204826355;2080;25;12
ost003d-20-3;1;18.65889024734497;35.5653555393219;2736;21;12
ost003d-20-4;1;23.147419452667236;43.5897274017334;2471;26;12
ost003d-20-5;1;22.679572820663452;42.171263694763184;1859;25;12
ost003d-20-6;1;15.67286491394043;29.981184005737305;2299;18;12
ost003d-20-7;1;21.387996912002563;40.34579038619995;2825;24;12
ost003d-20-8;1;26.248401641845703;48.815017223358154;2449;28;12
ost003d-20-9;1;16.868475914001465;31.799588441848755;2088;18;12
ost003d-30-0;1;33.09816217422485;61.34191584587097;2977;25;12
ost003d-30-1;1;22.37667226791382;42.29816007614136;2956;17;12
ost003d-30-2;1;40.12285923957825;73.90280389785767;3233;32;12
ost003d-30-3;1;32.78426480293274;60.62215185165405;2740;26;12
ost003d-30-4;1;29.504336833953857;55.11396098136902;3316;23;12
ost003d-30-5;1;36.07918310165405;67.06704211235046;3422;28;12
ost003d-30-6;1;37.84060716629028;69.83113646507263;3830;30;12
ost003d-30-7;1;38.1125214099884;69.69318127632141;2641;29;12
ost003d-30-8;1;38.96624207496643;72.04341197013855;3812;31;12
ost003d-30-9;1;28.20576238632202;52.3548583984375;2855;23;12
ost003d-40-0;1;44.74734950065613;83.69459676742554;4532;26;12
ost003d-40-1;1;42.51008081436157;79.10610032081604;3719;24;12
ost003d-40-2;1;40.87861394882202;76.45696711540222;3870;25;12
ost003d-40-3;1;46.77268075942993;87.09848356246948;4818;28;12
ost003d-40-4;1;38.8372700214386;73.13805365562439;3771;23;12
ost003d-40-5;1;41.22849798202515;78.64025259017944;4541;24;12
ost003d-40-6;1;46.147892475128174;87.69428825378418;5155;29;12
ost003d-40-7;1;44.43045115470886;82.61595106124878;4377;26;12
ost003d-40-8;1;47.9383020401001;89.98454332351685;4228;28;12
ost003d-40-9;1;40.15884852409363;76.98779344558716;4852;24;12
ost003d-50-0;1;57.47417879104614;110.40785193443298;5252;28;12
ost003d-50-1;1;62.958388328552246;122.08201241493225;5517;32;12
ost003d-50-2;1;49.98063325881958;96.1095335483551;5540;25;12
ost003d-50-3;1;63.001368045806885;118.00636386871338;4710;31;12
ost003d-50-4;1;67.28996348381042;129.38090467453003;5448;32;12
ost003d-50-5;1;62.956384897232056;120.33860540390015;5417;31;12
ost003d-50-6;1;66.2503092288971;127.42528510093689;5272;25;12
ost003d-50-7;1;57.737842082977295;112.72608041763306;5126;25;12
ost003d-50-8;1;64.88193988800049;128.59442019462585;6432;29;12
ost003d-50-9;1;39.625587701797485;79.37067890167236;4560;18;12
ost003d-60-0;1;71.90267395973206;141.93765807151794;6687;28;12
ost003d-60-1;1;73.90866923332214;146.3145408630371;5729;29;12
ost003d-60-2;1;61.82757830619812;124.12625527381897;6339;25;12
ost003d-60-3;1;69.91568565368652;139.87996077537537;6347;27;12
ost003d-60-4;1;71.24872660636902;143.62985730171204;6379;27;12
ost003d-60-5;1;76.67622947692871;152.54196166992188;6627;29;12
ost003d-60-6;1;56.50922131538391;116.39434218406677;6752;22;12
ost003d-60-7;1;68.76087236404419;138.64611673355103;7286;27;12
ost003d-60-8;1;82.83933591842651;163.10248589515686;6930;32;12
ost003d-60-9;1;70.82741379737854;143.19813776016235;6470;28;12
ost003d-70-0;1;80.97503542900085;171.52362394332886;8155;28;12
ost003d-70-1;1;85.04260277748108;178.5454785823822;8387;29;12
ost003d-70-2;1;81.96850347518921;169.33758783340454;7629;29;12
ost003d-70-3;1;90.97533059120178;187.26792168617249;8674;31;12
ost003d-70-4;1;79.90874361991882;167.44985914230347;8042;28;12
ost003d-70-5;1;79.95919990539551;165.46957421302795;7684;27;12
ost003d-70-6;1;83.37429428100586;169.44792246818542;6937;28;12
ost003d-70-7;1;93.28652262687683;190.54149651527405;8603;32;12
ost003d-70-8;1;88.70418167114258;183.6253159046173;7802;29;12
ost003d-70-9;1;88.07752466201782;183.5971667766571;8462;29;12
ost003d-80-0;1;88.88785600662231;193.2422754764557;8897;26;12
ost003d-80-1;1;80.2378363609314;171.09095001220703;7689;24;12
ost003d-80-2;1;102.38543343544006;217.98457312583923;8865;30;12
ost003d-80-3;1;92.84756207466125;200.83633494377136;8766;28;12
ost003d-80-4;1;105.1850700378418;227.16726636886597;9812;32;12
ost003d-80-5;1;78.1674382686615;170.71676349639893;8777;24;12
ost003d-80-6;1;81.90663695335388;179.1628966331482;8935;25;12
ost003d-80-7;1;103.81109952926636;219.40645956993103;9304;33;12
ost003d-80-8;1;94.96086120605469;204.62340116500854;9517;29;12
ost003d-80-9;1;99.03890705108643;208.05349373817444;7974;30;12
ost003d-90-0;1;104.5005419254303;225.55725741386414;9193;28;12
ost003d-90-1;1;124.34588646888733;257.02538323402405;9420;31;12
ost003d-90-2;1;107.47750878334045;230.19336032867432;10360;29;12
ost003d-90-3;1;107.35087966918945;225.13901567459106;9311;29;12
ost003d-90-4;1;82.82935237884521;186.60986328125;10037;22;12
ost003d-90-5;1;98.96826887130737;215.32196021080017;9375;26;12
ost003d-90-6;1;108.22886323928833;229.72449445724487;9912;29;12
ost003d-90-7;1;101.40038919448853;216.16584420204163;9604;27;12
ost003d-90-8;1;125.34085702896118;269.8454840183258;9693;33;12
ost003d-90-9;1;98.63897752761841;211.9552149772644;9642;26;12
ost003d-100-0;1;120.35933995246887;259.2021372318268;10479;29;12
ost003d-100-1;1;86.03460669517517;195.85988879203796;9950;21;12
ost003d-100-2;1;103.25765490531921;228.61560726165771;11263;25;12
ost003d-100-3;1;126.57117366790771;270.7064595222473;11635;31;12
ost003d-100-4;1;100.34385585784912;225.61996960639954;10592;24;12
ost003d-100-5;1;134.03838062286377;286.4214289188385;11111;32;12
ost003d-100-6;1;115.1863534450531;251.48203134536743;11573;28;12
ost003d-100-7;1;117.52153658866882;257.7883367538452;11137;28;12
ost003d-100-8;1;112.33104968070984;252.7178246974945;10919;27;12
ost003d-100-9;1;102.77318954467773;222.38092970848083;9800;26;12
ost003d-110-0;1;128.7456784248352;281.2180142402649;11066;30;12
ost003d-110-1;1;120.4599027633667;265.8021855354309;11530;29;12
ost003d-110-2;1;105.67040157318115;241.7408525943756;12393;27;12
ost003d-110-3;1;126.12868976593018;283.99201822280884;13319;32;12
ost003d-110-4;1;109.82803583145142;245.4606339931488;11971;28;12
ost003d-110-5;1;123.44957971572876;273.0286090373993;11301;31;12
ost003d-110-6;1;120.50454425811768;267.523410320282;11981;30;12
ost003d-110-7;1;111.04164242744446;254.92153692245483;12162;28;12
ost003d-110-8;1;110.28889036178589;251.92351818084717;12508;28;12
ost003d-110-9;1;131.10907244682312;295.99708890914917;13193;32;12
ost003d-120-1;1;107.21289610862732;257.71461272239685;13556;25;12
ost003d-120-3;1;126.14469885826111;288.4625554084778;12024;30;12
ost003d-120-4;1;115.41221070289612;281.97867822647095;13976;27;12
ost003d-120-5;1;124.36027884483337;292.7621474266052;14125;29;12
ost003d-120-6;1;128.9467785358429;294.32363629341125;12725;30;12
