sep=;
Instance;solved;groundtime;runtime;solcost;numexecs;windowsize
den520d-10-0;1;25.062795639038086;45.20120096206665;1954;29;12
den520d-10-1;1;25.4556667804718;46.00093865394592;1617;29;12
den520d-10-2;1;21.83784770965576;39.52905821800232;1617;25;12
den520d-10-3;1;21.248039960861206;38.65534472465515;1418;25;12
den520d-10-4;1;16.94345211982727;30.77192521095276;1236;20;12
den520d-10-5;1;18.9028103351593;34.27877688407898;1069;21;12
den520d-10-6;1;14.466259241104126;26.56430196762085;1148;17;12
den520d-10-7;1;22.990466356277466;41.5713894367218;1100;26;12
den520d-10-8;1;17.925130605697632;32.480366230010986;1353;21;12
den520d-10-9;1;25.33770227432251;45.447121143341064;1316;29;12
den520d-20-0;1;34.7786123752594;61.52185678482056;2855;26;12
den520d-20-1;1;35.08151650428772;62.06967830657959;2845;26;12
den520d-20-2;1;29.63229775428772;53.368525981903076;2742;22;12
den520d-20-3;1;31.25676727294922;55.84171724319458;2886;23;12
den520d-20-4;1;25.165761947631836;44.56640911102295;2128;18;12
den520d-20-5;1;32.5643424987793;57.68011474609375;2662;24;12
den520d-20-6;1;39.58203864097595;70.33097243309021;3117;29;12
den520d-20-7;1;25.279720306396484;45.20120072364807;2405;18;12
den520d-20-8;1;37.754634618759155;66.73714971542358;2876;28;12
den520d-20-9;1;36.2231388092041;64.27195835113525;2192;27;12
den520d-30-0;1;43.49975395202637;78.44631576538086;4330;24;12
den520d-30-1;1;43.44677209854126;77.068767786026;3513;23;12
den520d-30-2;1;52.44183278083801;94.45907354354858;4705;29;12
den520d-30-3;1;52.72473216056824;94.21715259552002;4450;29;12
den520d-30-4;1;56.40753245353699;99.68136310577393;3825;30;12
den520d-30-5;1;46.84666037559509;84.94718742370605;4466;25;12
den520d-30-6;1;40.658684730529785;73.28000736236572;3268;22;12
den520d-30-7;1;56.14561653137207;100.3061592578888;4853;30;12
den520d-30-8;1;53.54246950149536;95.29879832267761;4314;29;12
den520d-30-9;1;45.74302530288696;81.28838515281677;4224;25;12
den520d-40-0;1;73.10806512832642;131.08108353614807;5701;32;12
den520d-40-1;1;70.32397222518921;126.48558855056763;5446;29;12
den520d-40-2;1;57.06531476974487;102.21053576469421;5071;25;12
den520d-40-3;1;65.2966206073761;117.65247988700867;6447;28;12
den520d-40-4;1;62.30160188674927;111.59546256065369;5161;26;12
den520d-40-5;1;62.54551863670349;113.95368981361389;6060;28;12
den520d-40-6;1;54.935012102127075;100.31315732002258;4636;23;12
den520d-40-7;1;56.52549433708191;102.41346907615662;4926;25;12
den520d-40-8;1;69.95409417152405;126.4875876903534;5537;31;12
den520d-40-9;1;74.78551197052002;132.7545347213745;5868;32;12
den520d-50-0;1;74.31066799163818;137.3440330028534;6269;27;12
den520d-50-1;1;77.7995252609253;142.1714518070221;6955;28;12
den520d-50-2;1;93.44540143013;170.04132771492004;7542;34;12
den520d-50-3;1;77.24071002006531;140.44801592826843;7005;27;12
den520d-50-4;1;83.21775078773499;152.29013919830322;6601;28;12
den520d-50-5;1;69.98408579826355;127.42627954483032;6054;24;12
den520d-50-6;1;74.28567790985107;138.92151594161987;7377;26;12
den520d-50-7;1;85.60496854782104;155.5420744419098;6468;29;12
den520d-50-8;1;83.4376802444458;151.41642594337463;6325;30;12
den520d-50-9;1;87.44137120246887;157.27450728416443;6501;31;12
den520d-60-0;1;97.56005430221558;180.94175910949707;8051;29;12
den520d-60-1;1;102.53342866897583;188.29635047912598;8109;31;12
den520d-60-2;1;80.92949938774109;151.4844033718109;7875;24;12
den520d-60-3;1;97.85596060752869;181.76149010658264;8241;29;12
den520d-60-4;1;107.90167188644409;200.52234768867493;8382;32;12
den520d-60-5;1;104.00494718551636;190.4226541519165;7011;32;12
den520d-60-6;1;102.0355920791626;192.40100622177124;9617;30;12
den520d-60-7;1;97.30114436149597;180.99773955345154;7778;28;12
den520d-60-8;1;115.8540666103363;212.24750876426697;8058;34;12
den520d-60-9;1;97.47108173370361;177.88575839996338;7240;29;12
den520d-70-0;1;90.051513671875;176.1513273715973;9787;23;12
den520d-70-1;1;100.57906889915466;191.27537512779236;9139;27;12
den520d-70-2;1;120.94639778137207;228.06033039093018;9379;32;12
den520d-70-3;1;111.30155801773071;214.70970225334167;9501;30;12
