Grid Name;Grid Rows;Grid Columns;Num Of Agents;Num Of Obstacles;Instance Id;HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Success;HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Runtime;HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Solution Cost;HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Expanded (HL);HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Generated (HL);HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart MDDs Built (HL);HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Solution Depth;Makespan;
;20;20;2;0;0;1;50,302;21;0;1;0;0;17;
;20;20;2;0;1;1;0,1036;26;0;1;0;0;16;
;20;20;2;0;2;1;0,0566000000000031;29;0;1;0;0;17;
;20;20;2;0;3;1;0,0559999999999832;26;0;1;0;0;22;
;20;20;2;0;4;1;0,0756000000000085;46;0;1;0;0;29;
;20;20;4;0;0;1;0,0727999999999724;31;0;1;0;0;16;
;20;20;4;0;1;1;0,107499999999959;77;0;1;0;0;30;
;20;20;4;0;2;1;90,0844;45;1;1;2;0;16;
;20;20;4;0;3;1;0,0938999999999623;60;0;1;0;0;29;
;20;20;4;0;4;1;0,108399999999961;64;0;1;0;0;19;
;20;20;6;0;0;1;0,0978999999999814;66;0;1;0;0;22;
;20;20;6;0;1;1;0,169200000000046;95;0;1;0;0;23;
;20;20;6;0;2;1;0,102699999999913;62;0;1;0;0;17;
;20;20;6;0;3;1;0,106000000000222;78;0;1;0;0;24;
;20;20;6;0;4;1;1,48929999999973;50;1;1;2;0;19;
;20;20;8;0;0;1;2,73469999999998;106;1;1;3;0;24;
;20;20;8;0;1;1;0,85109999999986;93;1;1;3;0;31;
;20;20;8;0;2;1;157,0698;123;67;132;75;1;26;
;20;20;8;0;3;1;1,11169999999993;103;1;1;2;0;21;
;20;20;8;0;4;1;0,421100000000024;101;1;1;2;0;21;
;20;20;10;0;0;1;0,946300000000065;169;1;1;4;0;26;
;20;20;10;0;1;1;0,140300000000025;107;0;1;0;0;21;
;20;20;10;0;2;1;1,03899999999976;116;1;1;4;0;21;
;20;20;10;0;3;1;0,54509999999982;124;1;1;2;0;21;
;20;20;10;0;4;1;1,14450000000033;119;1;1;2;0;23;
;20;20;12;0;0;1;88,8352;153;67;130;134;1;23;
;20;20;12;0;1;1;1,36040000000003;124;1;1;6;0;18;
;20;20;12;0;2;1;2,48950000000013;199;1;1;8;0;26;
;20;20;12;0;3;1;2,97770000000037;186;1;1;8;0;34;
;20;20;12;0;4;1;1,04719999999998;179;1;1;5;0;30;
;20;20;14;0;0;1;1,57510000000002;159;1;1;8;0;27;
;20;20;14;0;1;1;2,26240000000053;172;1;1;6;0;38;
;20;20;14;0;2;1;12,4102000000003;192;11;21;18;1;28;
;20;20;14;0;3;1;1,52900000000045;181;1;1;6;0;28;
