sep=;
Instance; Models; Optimum; Optimization; Calls; Time(Total); Time(Solving); Time(1st Model); Time(Unsat); CPU Time; Threads
...tances\Grid10_2\Instance-10-20-6-59.lp;32+;unknown;16;1;300,007;299,09;0,05;0,00;294,969;
...stances\Grid10_2\Instance-10-20-6-6.lp;22+;unknown;12;1;300,001;299,15;0,01;0,00;293,609;
...tances\Grid10_2\Instance-10-20-6-60.lp;3;yes;4;1;9,535;8,71;0,02;5,67;9,484;
...tances\Grid10_2\Instance-10-20-6-61.lp;7;yes;3;1;1,590;0,78;0,02;0,61;1,578;
...tances\Grid10_2\Instance-10-20-6-62.lp;4;yes;2;1;5,181;4,36;0,02;0,00;5,188;
...tances\Grid10_2\Instance-10-20-6-63.lp;1;yes;1;1;0,800;0,02;0,01;0,00;0,781;
...tances\Grid10_2\Instance-10-20-6-64.lp;8;yes;1;1;3,642;2,85;0,01;0,00;3,625;
...tances\Grid10_2\Instance-10-20-6-65.lp;13+;unknown;8;1;300,001;299,24;0,02;0,00;299,266;
...tances\Grid10_2\Instance-10-20-6-66.lp;7;yes;4;1;31,542;30,77;0,01;8,32;31,453;
...tances\Grid10_2\Instance-10-20-6-67.lp;1;yes;0;1;0,802;0,02;0,02;0,00;0,797;
...tances\Grid10_2\Instance-10-20-6-68.lp;3;yes;4;1;0,857;0,07;0,02;0,04;0,844;
...tances\Grid10_2\Instance-10-20-6-69.lp;4;yes;2;1;0,880;0,09;0,01;0,02;0,875;
...stances\Grid10_2\Instance-10-20-6-7.lp;1;yes;1;1;0,785;0,02;0,02;0,00;0,766;
...tances\Grid10_2\Instance-10-20-6-70.lp;4;yes;0;1;0,832;0,04;0,02;0,00;0,828;
...tances\Grid10_2\Instance-10-20-6-71.lp;1;yes;2;1;0,801;0,04;0,02;0,03;0,797;
...tances\Grid10_2\Instance-10-20-6-72.lp;1;yes;2;1;0,810;0,04;0,02;0,02;0,813;
...tances\Grid10_2\Instance-10-20-6-73.lp;3;yes;0;1;0,857;0,04;0,01;0,00;0,813;
...tances\Grid10_2\Instance-10-20-6-74.lp;2;yes;0;1;0,836;0,05;0,02;0,00;0,828;
...tances\Grid10_2\Instance-10-20-6-75.lp;4;yes;1;1;7,023;6,26;0,02;0,00;6,984;
...tances\Grid10_2\Instance-10-20-6-76.lp;5;yes;2;1;5,078;4,27;0,03;0,03;5,063;
...tances\Grid10_2\Instance-10-20-6-77.lp;1;yes;0;1;0,866;0,02;0,02;0,00;0,844;
...tances\Grid10_2\Instance-10-20-6-78.lp;10;yes;3;1;8,132;7,33;0,02;0,01;8,094;
...tances\Grid10_2\Instance-10-20-6-79.lp;2;yes;0;1;0,833;0,05;0,02;0,00;0,813;
...stances\Grid10_2\Instance-10-20-6-8.lp;1;yes;0;1;0,786;0,02;0,02;0,00;0,766;
...tances\Grid10_2\Instance-10-20-6-80.lp;1;yes;0;1;0,841;0,02;0,02;0,00;0,828;
...tances\Grid10_2\Instance-10-20-6-81.lp;1;yes;0;1;0,812;0,02;0,02;0,00;0,813;
...tances\Grid10_2\Instance-10-20-6-82.lp;2;yes;1;1;0,855;0,05;0,02;0,00;0,844;
...tances\Grid10_2\Instance-10-20-6-83.lp;7;yes;5;1;15,052;14,27;0,01;6,56;15,047;
...tances\Grid10_2\Instance-10-20-6-84.lp;12;yes;0;1;1,079;0,31;0,02;0,00;1,063;
...tances\Grid10_2\Instance-10-20-6-85.lp;1;yes;0;1;0,802;0,02;0,02;0,00;0,797;
...tances\Grid10_2\Instance-10-20-6-86.lp;1;yes;0;1;0,810;0,02;0,02;0,00;0,797;
...tances\Grid10_2\Instance-10-20-6-87.lp;1;yes;2;1;0,828;0,04;0,01;0,02;0,813;
...tances\Grid10_2\Instance-10-20-6-88.lp;6;yes;2;1;0,832;0,05;0,01;0,02;0,813;
