sep=;
Instance; Models; Optimum; Optimization; Calls; Time(Total); Time(Solving); Time(1st Model); Time(Unsat); CPU Time; Threads
...tances\Grid10_2\Instance-10-20-6-51.lp;1;yes;0;1;1,056;0,04;0,03;0,00;1,016;4        (Winner: 4)
...tances\Grid10_2\Instance-10-20-6-52.lp;5;yes;1;1;1,042;0,07;0,04;0,01;1,094;4        (Winner: 4)
...tances\Grid10_2\Instance-10-20-6-53.lp;1;yes;0;1;0,938;0,03;0,03;0,00;0,984;4        (Winner: 4)
...tances\Grid10_2\Instance-10-20-6-54.lp;2;yes;0;1;0,896;0,04;0,03;0,00;0,906;4        (Winner: 4)
...tances\Grid10_2\Instance-10-20-6-55.lp;9;yes;2;1;1,434;0,56;0,03;0,01;2,656;4        (Winner: 4)
...tances\Grid10_2\Instance-10-20-6-56.lp;3;yes;0;1;0,919;0,04;0,03;0,00;0,984;4        (Winner: 4)
...tances\Grid10_2\Instance-10-20-6-57.lp;1;yes;0;1;1,017;0,04;0,04;0,00;0,953;4        (Winner: 4)
...tances\Grid10_2\Instance-10-20-6-58.lp;4;yes;2;1;0,946;0,06;0,03;0,03;1,016;4        (Winner: 4)
...tances\Grid10_2\Instance-10-20-6-59.lp;22;yes;8;1;99,780;98,93;0,05;0,02;316,156;4        (Winner: 4)
...stances\Grid10_2\Instance-10-20-6-6.lp;16;yes;4;1;15,626;14,75;0,03;0,04;46,297;4        (Winner: 4)
...tances\Grid10_2\Instance-10-20-6-60.lp;9;yes;4;1;4,508;3,59;0,03;2,00;12,016;4        (Winner: 4)
...tances\Grid10_2\Instance-10-20-6-61.lp;7;yes;3;1;1,205;0,24;0,04;0,01;1,641;4        (Winner: 4)
...tances\Grid10_2\Instance-10-20-6-62.lp;14;yes;2;1;1,156;0,28;0,03;0,00;1,719;4        (Winner: 4)
...tances\Grid10_2\Instance-10-20-6-63.lp;3;yes;1;1;0,919;0,06;0,04;0,01;1,016;4        (Winner: 4)
...tances\Grid10_2\Instance-10-20-6-64.lp;3;yes;1;1;0,900;0,05;0,03;0,00;1,016;4        (Winner: 4)
...tances\Grid10_2\Instance-10-20-6-65.lp;6;yes;5;1;7,276;6,43;0,04;0,01;21,297;4        (Winner: 4)
...tances\Grid10_2\Instance-10-20-6-66.lp;3;yes;4;1;2,405;1,54;0,03;0,01;6,094;4        (Winner: 4)
...tances\Grid10_2\Instance-10-20-6-67.lp;2;yes;0;1;0,926;0,03;0,03;0,00;1,031;4        (Winner: 4)
...tances\Grid10_2\Instance-10-20-6-68.lp;8;yes;4;1;1,121;0,24;0,04;0,02;1,672;4        (Winner: 4)
...tances\Grid10_2\Instance-10-20-6-69.lp;11;yes;2;1;1,480;0,56;0,03;0,01;2,844;4        (Winner: 4)
...stances\Grid10_2\Instance-10-20-6-7.lp;2;yes;1;1;0,913;0,04;0,03;0,00;0,984;4        (Winner: 4)
...tances\Grid10_2\Instance-10-20-6-70.lp;2;yes;0;1;0,911;0,03;0,03;0,00;0,922;4        (Winner: 4)
...tances\Grid10_2\Instance-10-20-6-71.lp;4;yes;2;1;0,898;0,06;0,03;0,02;0,984;4        (Winner: 4)
...tances\Grid10_2\Instance-10-20-6-72.lp;2;yes;2;1;0,939;0,07;0,03;0,02;1,016;4        (Winner: 4)
...tances\Grid10_2\Instance-10-20-6-73.lp;2;yes;0;1;0,950;0,03;0,03;0,00;0,969;4        (Winner: 4)
...tances\Grid10_2\Instance-10-20-6-74.lp;1;yes;0;1;0,905;0,03;0,03;0,00;0,922;4        (Winner: 4)
...tances\Grid10_2\Instance-10-20-6-75.lp;5;yes;1;1;0,916;0,07;0,03;0,01;1,109;4        (Winner: 4)
...tances\Grid10_2\Instance-10-20-6-76.lp;2;yes;2;1;0,953;0,07;0,04;0,02;1,094;4        (Winner: 4)
...tances\Grid10_2\Instance-10-20-6-77.lp;1;yes;0;1;0,947;0,04;0,04;0,00;1,047;4        (Winner: 4)
